#    L    TT             EE             TE             PP             TP          
   764   0.222316E+04   0.101000E+02  -0.490299E+02   0.234400E+06   0.183322E+03
   765   0.222206E+04   0.100290E+02  -0.473256E+02   0.233719E+06   0.182672E+03
   766   0.222084E+04   0.996449E+01  -0.456194E+02   0.233041E+06   0.182013E+03
   767   0.221936E+04   0.990552E+01  -0.439045E+02   0.232365E+06   0.181345E+03
   768   0.221770E+04   0.985128E+01  -0.421737E+02   0.231692E+06   0.180668E+03
   769   0.221586E+04   0.980167E+01  -0.404497E+02   0.231021E+06   0.179983E+03
   770   0.221376E+04   0.975880E+01  -0.387182E+02   0.230354E+06   0.179289E+03
   771   0.221150E+04   0.972107E+01  -0.369795E+02   0.229688E+06   0.178588E+03
   772   0.220900E+04   0.968912E+01  -0.352266E+02   0.229026E+06   0.177878E+03
   773   0.220633E+04   0.966283E+01  -0.334821E+02   0.228366E+06   0.177161E+03
   774   0.220343E+04   0.964210E+01  -0.317391E+02   0.227708E+06   0.176436E+03
   775   0.220045E+04   0.962682E+01  -0.299905E+02   0.227053E+06   0.175704E+03
   776   0.219710E+04   0.961761E+01  -0.282441E+02   0.226401E+06   0.174965E+03
   777   0.219360E+04   0.961362E+01  -0.264930E+02   0.225751E+06   0.174220E+03
   778   0.219012E+04   0.961549E+01  -0.247374E+02   0.225104E+06   0.173467E+03
   779   0.218619E+04   0.962311E+01  -0.229928E+02   0.224459E+06   0.172708E+03
   780   0.218214E+04   0.963487E+01  -0.212446E+02   0.223817E+06   0.171943E+03
   781   0.217795E+04   0.965439E+01  -0.195080E+02   0.223177E+06   0.171171E+03
   782   0.217349E+04   0.967858E+01  -0.177836E+02   0.222539E+06   0.170394E+03
   783   0.216892E+04   0.970881E+01  -0.160493E+02   0.221904E+06   0.169611E+03
   784   0.216415E+04   0.974498E+01  -0.143206E+02   0.221272E+06   0.168823E+03
   785   0.215912E+04   0.978624E+01  -0.126051E+02   0.220642E+06   0.168029E+03
   786   0.215399E+04   0.983320E+01  -0.108736E+02   0.220014E+06   0.167231E+03
   787   0.214860E+04   0.988651E+01  -0.916361E+01   0.219388E+06   0.166427E+03
   788   0.214304E+04   0.994458E+01  -0.746814E+01   0.218765E+06   0.165619E+03
   789   0.213731E+04   0.100073E+02  -0.578757E+01   0.218145E+06   0.164807E+03
   790   0.213150E+04   0.100782E+02  -0.410745E+01   0.217526E+06   0.163990E+03
   791   0.212544E+04   0.101536E+02  -0.243560E+01   0.216910E+06   0.163169E+03
   792   0.211924E+04   0.102355E+02  -0.787298E+00   0.216296E+06   0.162344E+03
   793   0.211280E+04   0.103238E+02   0.859351E+00   0.215685E+06   0.161516E+03
   794   0.210614E+04   0.104177E+02   0.248166E+01   0.215076E+06   0.160684E+03
   795   0.209934E+04   0.105163E+02   0.409408E+01   0.214469E+06   0.159850E+03
   796   0.209255E+04   0.106218E+02   0.568135E+01   0.213864E+06   0.159012E+03
   797   0.208541E+04   0.107318E+02   0.725793E+01   0.213262E+06   0.158171E+03
   798   0.207813E+04   0.108483E+02   0.880855E+01   0.212662E+06   0.157327E+03
   799   0.207072E+04   0.109707E+02   0.103403E+02   0.212064E+06   0.156482E+03
   800   0.206320E+04   0.110979E+02   0.118526E+02   0.211468E+06   0.155634E+03
   801   0.205548E+04   0.112314E+02   0.133380E+02   0.210875E+06   0.154783E+03
   802   0.204750E+04   0.113703E+02   0.148189E+02   0.210283E+06   0.153931E+03
   803   0.203955E+04   0.115138E+02   0.162587E+02   0.209694E+06   0.153077E+03
   804   0.203135E+04   0.116638E+02   0.176874E+02   0.209107E+06   0.152221E+03
   805   0.202313E+04   0.118187E+02   0.190907E+02   0.208522E+06   0.151363E+03
   806   0.201465E+04   0.119784E+02   0.204690E+02   0.207939E+06   0.150504E+03
   807   0.200600E+04   0.121443E+02   0.218227E+02   0.207359E+06   0.149642E+03
   808   0.199719E+04   0.123155E+02   0.231598E+02   0.206780E+06   0.148778E+03
   809   0.198836E+04   0.124917E+02   0.244656E+02   0.206204E+06   0.147913E+03
   810   0.197929E+04   0.126728E+02   0.257556E+02   0.205629E+06   0.147046E+03
   811   0.197007E+04   0.128588E+02   0.270220E+02   0.205057E+06   0.146177E+03
   812   0.196078E+04   0.130509E+02   0.282608E+02   0.204487E+06   0.145306E+03
   813   0.195133E+04   0.132461E+02   0.294732E+02   0.203919E+06   0.144434E+03
   814   0.194188E+04   0.134470E+02   0.306617E+02   0.203353E+06   0.143560E+03
   815   0.193222E+04   0.136522E+02   0.318247E+02   0.202789E+06   0.142684E+03
   816   0.192235E+04   0.138622E+02   0.329625E+02   0.202227E+06   0.141806E+03
   817   0.191242E+04   0.140760E+02   0.340748E+02   0.201667E+06   0.140927E+03
   818   0.190250E+04   0.142952E+02   0.351614E+02   0.201109E+06   0.140046E+03
   819   0.189238E+04   0.145179E+02   0.362218E+02   0.200553E+06   0.139164E+03
   820   0.188221E+04   0.147448E+02   0.372566E+02   0.200000E+06   0.138280E+03
   821   0.187185E+04   0.149751E+02   0.382632E+02   0.199448E+06   0.137394E+03
   822   0.186144E+04   0.152108E+02   0.392435E+02   0.198898E+06   0.136507E+03
   823   0.185092E+04   0.154494E+02   0.401971E+02   0.198350E+06   0.135619E+03
   824   0.184022E+04   0.156924E+02   0.411239E+02   0.197804E+06   0.134729E+03
   825   0.182956E+04   0.159382E+02   0.420220E+02   0.197260E+06   0.133837E+03
   826   0.181872E+04   0.161887E+02   0.428925E+02   0.196718E+06   0.132945E+03
   827   0.180778E+04   0.164417E+02   0.437337E+02   0.196178E+06   0.132050E+03
   828   0.179690E+04   0.166984E+02   0.445467E+02   0.195640E+06   0.131155E+03
   829   0.178585E+04   0.169588E+02   0.453305E+02   0.195103E+06   0.130257E+03
   830   0.177478E+04   0.172219E+02   0.460832E+02   0.194569E+06   0.129359E+03
   831   0.176363E+04   0.174875E+02   0.468069E+02   0.194036E+06   0.128459E+03
   832   0.175240E+04   0.177556E+02   0.475004E+02   0.193506E+06   0.127558E+03
   833   0.174117E+04   0.180266E+02   0.481634E+02   0.192977E+06   0.126656E+03
   834   0.172979E+04   0.182998E+02   0.487964E+02   0.192450E+06   0.125753E+03
   835   0.171848E+04   0.185765E+02   0.493984E+02   0.191925E+06   0.124848E+03
   836   0.170696E+04   0.188543E+02   0.499696E+02   0.191402E+06   0.123942E+03
   837   0.169553E+04   0.191345E+02   0.505091E+02   0.190881E+06   0.123035E+03
   838   0.168403E+04   0.194169E+02   0.510173E+02   0.190361E+06   0.122127E+03
   839   0.167241E+04   0.197008E+02   0.514947E+02   0.189844E+06   0.121217E+03
   840   0.166088E+04   0.199873E+02   0.519394E+02   0.189328E+06   0.120307E+03
   841   0.164930E+04   0.202743E+02   0.523504E+02   0.188814E+06   0.119395E+03
   842   0.163768E+04   0.205621E+02   0.527311E+02   0.188302E+06   0.118482E+03
   843   0.162609E+04   0.208515E+02   0.530760E+02   0.187791E+06   0.117569E+03
   844   0.161439E+04   0.211423E+02   0.533892E+02   0.187283E+06   0.116654E+03
   845   0.160280E+04   0.214328E+02   0.536682E+02   0.186776E+06   0.115738E+03
   846   0.159125E+04   0.217259E+02   0.539128E+02   0.186270E+06   0.114822E+03
   847   0.157975E+04   0.220177E+02   0.541239E+02   0.185767E+06   0.113904E+03
   848   0.156823E+04   0.223103E+02   0.542999E+02   0.185265E+06   0.112985E+03
   849   0.155661E+04   0.226028E+02   0.544419E+02   0.184765E+06   0.112066E+03
   850   0.154520E+04   0.228958E+02   0.545491E+02   0.184267E+06   0.111146E+03
   851   0.153370E+04   0.231884E+02   0.546216E+02   0.183771E+06   0.110224E+03
   852   0.152226E+04   0.234813E+02   0.546596E+02   0.183276E+06   0.109303E+03
   853   0.151088E+04   0.237731E+02   0.546632E+02   0.182783E+06   0.108380E+03
   854   0.149948E+04   0.240651E+02   0.546320E+02   0.182291E+06   0.107457E+03
   855   0.148807E+04   0.243566E+02   0.545676E+02   0.181801E+06   0.106534E+03
   856   0.147687E+04   0.246461E+02   0.544691E+02   0.181313E+06   0.105610E+03
   857   0.146557E+04   0.249358E+02   0.543366E+02   0.180827E+06   0.104687E+03
   858   0.145434E+04   0.252264E+02   0.541708E+02   0.180342E+06   0.103763E+03
   859   0.144315E+04   0.255134E+02   0.539735E+02   0.179859E+06   0.102839E+03
   860   0.143210E+04   0.258005E+02   0.537424E+02   0.179377E+06   0.101916E+03
   861   0.142104E+04   0.260870E+02   0.534784E+02   0.178897E+06   0.100993E+03
   862   0.141002E+04   0.263720E+02   0.531830E+02   0.178419E+06   0.100071E+03
   863   0.139906E+04   0.266564E+02   0.528550E+02   0.177943E+06   0.991490E+02
   864   0.138816E+04   0.269385E+02   0.524958E+02   0.177468E+06   0.982280E+02
   865   0.137716E+04   0.272198E+02   0.521040E+02   0.176994E+06   0.973079E+02
   866   0.136658E+04   0.274996E+02   0.516814E+02   0.176523E+06   0.963887E+02
   867   0.135584E+04   0.277786E+02   0.512278E+02   0.176052E+06   0.954707E+02
   868   0.134522E+04   0.280553E+02   0.507443E+02   0.175584E+06   0.945539E+02
   869   0.133465E+04   0.283304E+02   0.502308E+02   0.175117E+06   0.936385E+02
   870   0.132413E+04   0.286030E+02   0.496875E+02   0.174651E+06   0.927245E+02
   871   0.131374E+04   0.288741E+02   0.491145E+02   0.174188E+06   0.918122E+02
   872   0.130340E+04   0.291434E+02   0.485133E+02   0.173725E+06   0.909016E+02
   873   0.129310E+04   0.294103E+02   0.478834E+02   0.173265E+06   0.899929E+02
   874   0.128293E+04   0.296754E+02   0.472247E+02   0.172806E+06   0.890861E+02
   875   0.127281E+04   0.299365E+02   0.465397E+02   0.172348E+06   0.881815E+02
   876   0.126273E+04   0.301966E+02   0.458276E+02   0.171892E+06   0.872791E+02
   877   0.125293E+04   0.304534E+02   0.450879E+02   0.171437E+06   0.863790E+02
   878   0.124302E+04   0.307068E+02   0.443221E+02   0.170984E+06   0.854814E+02
   879   0.123331E+04   0.309584E+02   0.435310E+02   0.170533E+06   0.845864E+02
   880   0.122371E+04   0.312066E+02   0.427148E+02   0.170083E+06   0.836941E+02
   881   0.121416E+04   0.314506E+02   0.418727E+02   0.169635E+06   0.828047E+02
   882   0.120474E+04   0.316920E+02   0.410065E+02   0.169188E+06   0.819182E+02
   883   0.119550E+04   0.319306E+02   0.401153E+02   0.168742E+06   0.810348E+02
   884   0.118623E+04   0.321643E+02   0.392024E+02   0.168298E+06   0.801547E+02
   885   0.117708E+04   0.323951E+02   0.382655E+02   0.167856E+06   0.792778E+02
   886   0.116812E+04   0.326225E+02   0.373063E+02   0.167415E+06   0.784045E+02
   887   0.115920E+04   0.328448E+02   0.363256E+02   0.166975E+06   0.775347E+02
   888   0.115054E+04   0.330642E+02   0.353234E+02   0.166537E+06   0.766686E+02
   889   0.114178E+04   0.332778E+02   0.343007E+02   0.166100E+06   0.758064E+02
   890   0.113328E+04   0.334885E+02   0.332567E+02   0.165665E+06   0.749481E+02
   891   0.112497E+04   0.336940E+02   0.321946E+02   0.165232E+06   0.740938E+02
   892   0.111677E+04   0.338944E+02   0.311143E+02   0.164799E+06   0.732438E+02
   893   0.110861E+04   0.340910E+02   0.300154E+02   0.164368E+06   0.723981E+02
   894   0.110071E+04   0.342817E+02   0.288986E+02   0.163939E+06   0.715568E+02
   895   0.109285E+04   0.344671E+02   0.277670E+02   0.163511E+06   0.707202E+02
   896   0.108517E+04   0.346479E+02   0.266184E+02   0.163084E+06   0.698882E+02
   897   0.107761E+04   0.348234E+02   0.254553E+02   0.162659E+06   0.690610E+02
   898   0.107030E+04   0.349929E+02   0.242776E+02   0.162235E+06   0.682387E+02
   899   0.106310E+04   0.351570E+02   0.230854E+02   0.161813E+06   0.674215E+02
   900   0.105602E+04   0.353149E+02   0.218812E+02   0.161392E+06   0.666095E+02
   901   0.104918E+04   0.354667E+02   0.206641E+02   0.160972E+06   0.658028E+02
   902   0.104246E+04   0.356125E+02   0.194354E+02   0.160554E+06   0.650014E+02
   903   0.103576E+04   0.357524E+02   0.181948E+02   0.160137E+06   0.642053E+02
   904   0.102945E+04   0.358858E+02   0.169426E+02   0.159721E+06   0.634146E+02
   905   0.102316E+04   0.360143E+02   0.156792E+02   0.159307E+06   0.626292E+02
   906   0.101704E+04   0.361358E+02   0.144050E+02   0.158894E+06   0.618492E+02
   907   0.101115E+04   0.362512E+02   0.131204E+02   0.158483E+06   0.610745E+02
   908   0.100549E+04   0.363607E+02   0.118266E+02   0.158073E+06   0.603052E+02
   909   0.999904E+03   0.364643E+02   0.105224E+02   0.157664E+06   0.595412E+02
   910   0.994395E+03   0.365629E+02   0.921055E+01   0.157256E+06   0.587827E+02
   911   0.989106E+03   0.366537E+02   0.788912E+01   0.156850E+06   0.580296E+02
   912   0.983957E+03   0.367399E+02   0.656001E+01   0.156445E+06   0.572818E+02
   913   0.978722E+03   0.368192E+02   0.522287E+01   0.156042E+06   0.565395E+02
   914   0.973991E+03   0.368926E+02   0.387960E+01   0.155639E+06   0.558026E+02
   915   0.969241E+03   0.369602E+02   0.252983E+01   0.155238E+06   0.550712E+02
   916   0.964765E+03   0.370215E+02   0.117322E+01   0.154839E+06   0.543451E+02
   917   0.960336E+03   0.370780E+02  -0.187609E+00   0.154441E+06   0.536246E+02
   918   0.956173E+03   0.371276E+02  -0.155449E+01   0.154044E+06   0.529095E+02
   919   0.952124E+03   0.371711E+02  -0.292554E+01   0.153648E+06   0.521999E+02
   920   0.948185E+03   0.372089E+02  -0.430111E+01   0.153253E+06   0.514957E+02
   921   0.944500E+03   0.372409E+02  -0.568007E+01   0.152860E+06   0.507970E+02
   922   0.940844E+03   0.372666E+02  -0.706127E+01   0.152468E+06   0.501039E+02
   923   0.937360E+03   0.372860E+02  -0.844433E+01   0.152078E+06   0.494162E+02
   924   0.934046E+03   0.373001E+02  -0.982959E+01   0.151688E+06   0.487341E+02
   925   0.930970E+03   0.373076E+02  -0.112159E+02   0.151300E+06   0.480575E+02
   926   0.927908E+03   0.373100E+02  -0.126014E+02   0.150913E+06   0.473864E+02
   927   0.925077E+03   0.373059E+02  -0.139872E+02   0.150528E+06   0.467209E+02
   928   0.922400E+03   0.372963E+02  -0.153721E+02   0.150143E+06   0.460609E+02
   929   0.919798E+03   0.372806E+02  -0.167543E+02   0.149760E+06   0.454065E+02
   930   0.917417E+03   0.372581E+02  -0.181348E+02   0.149378E+06   0.447576E+02
   931   0.915103E+03   0.372312E+02  -0.195118E+02   0.148998E+06   0.441143E+02
   932   0.913002E+03   0.371971E+02  -0.208849E+02   0.148618E+06   0.434767E+02
   933   0.911035E+03   0.371573E+02  -0.222529E+02   0.148240E+06   0.428446E+02
   934   0.909200E+03   0.371128E+02  -0.236148E+02   0.147863E+06   0.422181E+02
   935   0.907490E+03   0.370615E+02  -0.249722E+02   0.147487E+06   0.415973E+02
   936   0.905979E+03   0.370042E+02  -0.263219E+02   0.147113E+06   0.409820E+02
   937   0.904512E+03   0.369418E+02  -0.276643E+02   0.146739E+06   0.403724E+02
   938   0.903234E+03   0.368737E+02  -0.289981E+02   0.146367E+06   0.397685E+02
   939   0.902143E+03   0.367985E+02  -0.303230E+02   0.145996E+06   0.391702E+02
   940   0.901085E+03   0.367187E+02  -0.316379E+02   0.145626E+06   0.385775E+02
   941   0.900204E+03   0.366328E+02  -0.329424E+02   0.145258E+06   0.379906E+02
   942   0.899424E+03   0.365411E+02  -0.342352E+02   0.144890E+06   0.374093E+02
   943   0.898889E+03   0.364435E+02  -0.355153E+02   0.144524E+06   0.368337E+02
   944   0.898446E+03   0.363403E+02  -0.367831E+02   0.144159E+06   0.362638E+02
   945   0.898092E+03   0.362308E+02  -0.380366E+02   0.143795E+06   0.356996E+02
   946   0.897896E+03   0.361168E+02  -0.392755E+02   0.143432E+06   0.351411E+02
   947   0.897781E+03   0.359967E+02  -0.404979E+02   0.143070E+06   0.345884E+02
   948   0.897669E+03   0.358722E+02  -0.417040E+02   0.142710E+06   0.340413E+02
   949   0.897853E+03   0.357406E+02  -0.428922E+02   0.142350E+06   0.335001E+02
   950   0.898107E+03   0.356041E+02  -0.440626E+02   0.141992E+06   0.329646E+02
   951   0.898500E+03   0.354629E+02  -0.452136E+02   0.141635E+06   0.324348E+02
   952   0.899030E+03   0.353164E+02  -0.463447E+02   0.141279E+06   0.319108E+02
   953   0.899620E+03   0.351633E+02  -0.474570E+02   0.140924E+06   0.313926E+02
   954   0.900339E+03   0.350059E+02  -0.485495E+02   0.140571E+06   0.308801E+02
   955   0.901112E+03   0.348430E+02  -0.496227E+02   0.140218E+06   0.303734E+02
   956   0.902008E+03   0.346754E+02  -0.506770E+02   0.139866E+06   0.298724E+02
   957   0.903100E+03   0.345018E+02  -0.517105E+02   0.139516E+06   0.293772E+02
   958   0.904161E+03   0.343231E+02  -0.527251E+02   0.139167E+06   0.288878E+02
   959   0.905484E+03   0.341410E+02  -0.537199E+02   0.138819E+06   0.284042E+02
   960   0.906845E+03   0.339534E+02  -0.546930E+02   0.138472E+06   0.279263E+02
   961   0.908240E+03   0.337611E+02  -0.556470E+02   0.138126E+06   0.274541E+02
   962   0.909814E+03   0.335644E+02  -0.565802E+02   0.137781E+06   0.269877E+02
   963   0.911490E+03   0.333634E+02  -0.574930E+02   0.137437E+06   0.265271E+02
   964   0.913265E+03   0.331575E+02  -0.583843E+02   0.137094E+06   0.260723E+02
   965   0.915061E+03   0.329476E+02  -0.592553E+02   0.136752E+06   0.256232E+02
   966   0.917024E+03   0.327340E+02  -0.601049E+02   0.136412E+06   0.251799E+02
   967   0.919002E+03   0.325166E+02  -0.609336E+02   0.136072E+06   0.247423E+02
   968   0.921065E+03   0.322935E+02  -0.617410E+02   0.135734E+06   0.243105E+02
   969   0.923286E+03   0.320671E+02  -0.625261E+02   0.135396E+06   0.238844E+02
   970   0.925587E+03   0.318374E+02  -0.632908E+02   0.135060E+06   0.234642E+02
   971   0.927890E+03   0.316040E+02  -0.640332E+02   0.134725E+06   0.230496E+02
   972   0.930266E+03   0.313663E+02  -0.647532E+02   0.134391E+06   0.226409E+02
   973   0.932713E+03   0.311250E+02  -0.654518E+02   0.134057E+06   0.222379E+02
   974   0.935301E+03   0.308813E+02  -0.661287E+02   0.133725E+06   0.218406E+02
   975   0.937953E+03   0.306343E+02  -0.667821E+02   0.133394E+06   0.214492E+02
   976   0.940666E+03   0.303830E+02  -0.674132E+02   0.133064E+06   0.210635E+02
   977   0.943437E+03   0.301295E+02  -0.680209E+02   0.132735E+06   0.206835E+02
   978   0.946187E+03   0.298733E+02  -0.686059E+02   0.132407E+06   0.203093E+02
   979   0.949138E+03   0.296147E+02  -0.691671E+02   0.132080E+06   0.199409E+02
   980   0.952062E+03   0.293530E+02  -0.697052E+02   0.131754E+06   0.195783E+02
   981   0.955031E+03   0.290875E+02  -0.702199E+02   0.131429E+06   0.192214E+02
   982   0.958043E+03   0.288216E+02  -0.707104E+02   0.131105E+06   0.188702E+02
   983   0.961167E+03   0.285530E+02  -0.711773E+02   0.130782E+06   0.185248E+02
   984   0.964252E+03   0.282805E+02  -0.716201E+02   0.130460E+06   0.181852E+02
   985   0.967444E+03   0.280079E+02  -0.720388E+02   0.130140E+06   0.178514E+02
   986   0.970591E+03   0.277331E+02  -0.724328E+02   0.129820E+06   0.175233E+02
   987   0.973764E+03   0.274564E+02  -0.728027E+02   0.129501E+06   0.172010E+02
   988   0.977033E+03   0.271793E+02  -0.731476E+02   0.129183E+06   0.168844E+02
   989   0.980323E+03   0.268999E+02  -0.734667E+02   0.128866E+06   0.165736E+02
   990   0.983629E+03   0.266226E+02  -0.737618E+02   0.128550E+06   0.162685E+02
   991   0.986949E+03   0.263410E+02  -0.740313E+02   0.128235E+06   0.159693E+02
   992   0.990279E+03   0.260589E+02  -0.742757E+02   0.127921E+06   0.156757E+02
   993   0.993541E+03   0.257759E+02  -0.744946E+02   0.127608E+06   0.153880E+02
   994   0.996882E+03   0.254934E+02  -0.746869E+02   0.127296E+06   0.151060E+02
   995   0.100030E+04   0.252102E+02  -0.748539E+02   0.126985E+06   0.148298E+02
   996   0.100364E+04   0.249250E+02  -0.749945E+02   0.126674E+06   0.145593E+02
   997   0.100697E+04   0.246423E+02  -0.751098E+02   0.126365E+06   0.142946E+02
   998   0.101029E+04   0.243587E+02  -0.751973E+02   0.126057E+06   0.140356E+02
   999   0.101361E+04   0.240757E+02  -0.752589E+02   0.125750E+06   0.137825E+02
  1000   0.101690E+04   0.237935E+02  -0.752943E+02   0.125443E+06   0.135350E+02
  1001   0.102018E+04   0.235115E+02  -0.753017E+02   0.125138E+06   0.132934E+02
  1002   0.102337E+04   0.232298E+02  -0.752827E+02   0.124833E+06   0.130574E+02
  1003   0.102662E+04   0.229499E+02  -0.752379E+02   0.124530E+06   0.128272E+02
  1004   0.102984E+04   0.226702E+02  -0.751667E+02   0.124227E+06   0.126026E+02
  1005   0.103313E+04   0.223916E+02  -0.750683E+02   0.123925E+06   0.123837E+02
  1006   0.103632E+04   0.221133E+02  -0.749451E+02   0.123625E+06   0.121704E+02
  1007   0.103943E+04   0.218361E+02  -0.747963E+02   0.123325E+06   0.119627E+02
  1008   0.104229E+04   0.215600E+02  -0.746219E+02   0.123026E+06   0.117605E+02
  1009   0.104537E+04   0.212851E+02  -0.744228E+02   0.122728E+06   0.115638E+02
  1010   0.104843E+04   0.210120E+02  -0.741989E+02   0.122431E+06   0.113726E+02
  1011   0.105140E+04   0.207409E+02  -0.739502E+02   0.122134E+06   0.111868E+02
  1012   0.105436E+04   0.204702E+02  -0.736792E+02   0.121839E+06   0.110065E+02
  1013   0.105730E+04   0.202021E+02  -0.733827E+02   0.121545E+06   0.108316E+02
  1014   0.106023E+04   0.199346E+02  -0.730638E+02   0.121251E+06   0.106620E+02
  1015   0.106300E+04   0.196698E+02  -0.727210E+02   0.120959E+06   0.104978E+02
  1016   0.106583E+04   0.194056E+02  -0.723560E+02   0.120667E+06   0.103388E+02
  1017   0.106865E+04   0.191441E+02  -0.719686E+02   0.120376E+06   0.101851E+02
  1018   0.107138E+04   0.188831E+02  -0.715590E+02   0.120086E+06   0.100367E+02
  1019   0.107403E+04   0.186258E+02  -0.711279E+02   0.119797E+06   0.989346E+01
  1020   0.107674E+04   0.183682E+02  -0.706753E+02   0.119509E+06   0.975540E+01
  1021   0.107937E+04   0.181136E+02  -0.702020E+02   0.119222E+06   0.962249E+01
  1022   0.108191E+04   0.178618E+02  -0.697081E+02   0.118935E+06   0.949468E+01
  1023   0.108444E+04   0.176114E+02  -0.691913E+02   0.118650E+06   0.937196E+01
  1024   0.108689E+04   0.173631E+02  -0.686561E+02   0.118365E+06   0.925429E+01
  1025   0.108926E+04   0.171186E+02  -0.680982E+02   0.118081E+06   0.914164E+01
  1026   0.109184E+04   0.168755E+02  -0.675227E+02   0.117798E+06   0.903397E+01
  1027   0.109411E+04   0.166368E+02  -0.669282E+02   0.117516E+06   0.893127E+01
  1028   0.109631E+04   0.164004E+02  -0.663140E+02   0.117235E+06   0.883349E+01
  1029   0.109850E+04   0.161662E+02  -0.656831E+02   0.116954E+06   0.874061E+01
  1030   0.110060E+04   0.159359E+02  -0.650340E+02   0.116675E+06   0.865260E+01
  1031   0.110248E+04   0.157085E+02  -0.643660E+02   0.116396E+06   0.856941E+01
  1032   0.110450E+04   0.154828E+02  -0.636851E+02   0.116118E+06   0.849104E+01
  1033   0.110636E+04   0.152616E+02  -0.629869E+02   0.115841E+06   0.841743E+01
  1034   0.110830E+04   0.150450E+02  -0.622721E+02   0.115565E+06   0.834857E+01
  1035   0.111008E+04   0.148308E+02  -0.615430E+02   0.115290E+06   0.828442E+01
  1036   0.111178E+04   0.146197E+02  -0.607997E+02   0.115015E+06   0.822495E+01
  1037   0.111340E+04   0.144132E+02  -0.600421E+02   0.114741E+06   0.817012E+01
  1038   0.111502E+04   0.142115E+02  -0.592711E+02   0.114468E+06   0.811992E+01
  1039   0.111657E+04   0.140129E+02  -0.584836E+02   0.114196E+06   0.807430E+01
  1040   0.111788E+04   0.138183E+02  -0.576858E+02   0.113925E+06   0.803324E+01
  1041   0.111927E+04   0.136291E+02  -0.568731E+02   0.113655E+06   0.799671E+01
  1042   0.112051E+04   0.134433E+02  -0.560508E+02   0.113385E+06   0.796466E+01
  1043   0.112167E+04   0.132621E+02  -0.552152E+02   0.113116E+06   0.793709E+01
  1044   0.112283E+04   0.130851E+02  -0.543707E+02   0.112848E+06   0.791394E+01
  1045   0.112377E+04   0.129150E+02  -0.535183E+02   0.112581E+06   0.789520E+01
  1046   0.112471E+04   0.127483E+02  -0.526511E+02   0.112314E+06   0.788082E+01
  1047   0.112557E+04   0.125864E+02  -0.517849E+02   0.112049E+06   0.787079E+01
  1048   0.112621E+04   0.124301E+02  -0.509056E+02   0.111784E+06   0.786507E+01
  1049   0.112685E+04   0.122795E+02  -0.500139E+02   0.111520E+06   0.786362E+01
  1050   0.112735E+04   0.121337E+02  -0.491181E+02   0.111257E+06   0.786642E+01
  1051   0.112777E+04   0.119936E+02  -0.482187E+02   0.110994E+06   0.787344E+01
  1052   0.112812E+04   0.118590E+02  -0.473089E+02   0.110733E+06   0.788463E+01
  1053   0.112826E+04   0.117298E+02  -0.463964E+02   0.110472E+06   0.789996E+01
  1054   0.112833E+04   0.116066E+02  -0.454815E+02   0.110211E+06   0.791939E+01
  1055   0.112827E+04   0.114892E+02  -0.445572E+02   0.109952E+06   0.794287E+01
  1056   0.112815E+04   0.113769E+02  -0.436311E+02   0.109693E+06   0.797038E+01
  1057   0.112797E+04   0.112700E+02  -0.426963E+02   0.109436E+06   0.800186E+01
  1058   0.112782E+04   0.111694E+02  -0.417603E+02   0.109179E+06   0.803728E+01
  1059   0.112748E+04   0.110733E+02  -0.408163E+02   0.108922E+06   0.807660E+01
  1060   0.112701E+04   0.109824E+02  -0.398719E+02   0.108667E+06   0.811978E+01
  1061   0.112643E+04   0.108980E+02  -0.389201E+02   0.108412E+06   0.816678E+01
  1062   0.112581E+04   0.108185E+02  -0.379685E+02   0.108158E+06   0.821756E+01
  1063   0.112492E+04   0.107444E+02  -0.370102E+02   0.107904E+06   0.827208E+01
  1064   0.112409E+04   0.106757E+02  -0.360602E+02   0.107652E+06   0.833031E+01
  1065   0.112314E+04   0.106115E+02  -0.351042E+02   0.107400E+06   0.839219E+01
  1066   0.112202E+04   0.105531E+02  -0.341424E+02   0.107149E+06   0.845770E+01
  1067   0.112095E+04   0.105004E+02  -0.331751E+02   0.106899E+06   0.852679E+01
  1068   0.111972E+04   0.104525E+02  -0.322101E+02   0.106649E+06   0.859942E+01
  1069   0.111839E+04   0.104108E+02  -0.312553E+02   0.106400E+06   0.867556E+01
  1070   0.111704E+04   0.103728E+02  -0.302960E+02   0.106152E+06   0.875516E+01
  1071   0.111547E+04   0.103414E+02  -0.293325E+02   0.105905E+06   0.883818E+01
  1072   0.111388E+04   0.103143E+02  -0.283654E+02   0.105658E+06   0.892459E+01
  1073   0.111229E+04   0.102927E+02  -0.274022E+02   0.105412E+06   0.901434E+01
  1074   0.111047E+04   0.102767E+02  -0.264433E+02   0.105167E+06   0.910740E+01
  1075   0.110866E+04   0.102644E+02  -0.254891E+02   0.104922E+06   0.920372E+01
  1076   0.110670E+04   0.102581E+02  -0.245325E+02   0.104679E+06   0.930327E+01
  1077   0.110474E+04   0.102569E+02  -0.235887E+02   0.104436E+06   0.940601E+01
  1078   0.110258E+04   0.102612E+02  -0.226282E+02   0.104193E+06   0.951189E+01
  1079   0.110035E+04   0.102696E+02  -0.216887E+02   0.103952E+06   0.962089E+01
  1080   0.109814E+04   0.102827E+02  -0.207554E+02   0.103711E+06   0.973294E+01
  1081   0.109572E+04   0.103024E+02  -0.198214E+02   0.103470E+06   0.984803E+01
