#    L    TT             EE             TE             PP             TP          
    75   0.149473E+04   0.385848E+00  -0.623759E+01   0.669491E+07   0.724235E+04
    76   0.151177E+04   0.399293E+00  -0.667043E+01   0.665771E+07   0.713731E+04
    77   0.152909E+04   0.412873E+00  -0.711192E+01   0.662023E+07   0.703356E+04
    78   0.154673E+04   0.426615E+00  -0.756371E+01   0.658251E+07   0.693118E+04
    79   0.156452E+04   0.440466E+00  -0.802226E+01   0.654458E+07   0.683025E+04
    80   0.158260E+04   0.454429E+00  -0.848921E+01   0.650647E+07   0.673084E+04
    81   0.160087E+04   0.468456E+00  -0.896525E+01   0.646821E+07   0.663304E+04
    82   0.161940E+04   0.482565E+00  -0.944944E+01   0.642983E+07   0.653687E+04
    83   0.163811E+04   0.496730E+00  -0.994135E+01   0.639134E+07   0.644236E+04
    84   0.165708E+04   0.510943E+00  -0.104391E+02   0.635277E+07   0.634955E+04
    85   0.167616E+04   0.525178E+00  -0.109436E+02   0.631414E+07   0.625847E+04
    86   0.169541E+04   0.539444E+00  -0.114540E+02   0.627546E+07   0.616914E+04
    87   0.171506E+04   0.553709E+00  -0.119694E+02   0.623676E+07   0.608158E+04
    88   0.173468E+04   0.567987E+00  -0.124898E+02   0.619804E+07   0.599583E+04
    89   0.175465E+04   0.582262E+00  -0.130169E+02   0.615933E+07   0.591189E+04
    90   0.177482E+04   0.596496E+00  -0.135476E+02   0.612063E+07   0.582979E+04
    91   0.179512E+04   0.610681E+00  -0.140828E+02   0.608196E+07   0.574953E+04
    92   0.181571E+04   0.624802E+00  -0.146218E+02   0.604332E+07   0.567110E+04
    93   0.183659E+04   0.638852E+00  -0.151646E+02   0.600473E+07   0.559444E+04
    94   0.185752E+04   0.652794E+00  -0.157098E+02   0.596619E+07   0.551951E+04
    95   0.187875E+04   0.666627E+00  -0.162582E+02   0.592770E+07   0.544627E+04
    96   0.189995E+04   0.680339E+00  -0.168091E+02   0.588929E+07   0.537468E+04
    97   0.192160E+04   0.693914E+00  -0.173617E+02   0.585094E+07   0.530470E+04
    98   0.194345E+04   0.707345E+00  -0.179139E+02   0.581267E+07   0.523628E+04
    99   0.196536E+04   0.720595E+00  -0.184687E+02   0.577450E+07   0.516938E+04
   100   0.198756E+04   0.733664E+00  -0.190217E+02   0.573641E+07   0.510396E+04
   101   0.200989E+04   0.746613E+00  -0.195760E+02   0.569843E+07   0.503998E+04
   102   0.203273E+04   0.759293E+00  -0.201292E+02   0.566055E+07   0.497740E+04
   103   0.205548E+04   0.771778E+00  -0.206823E+02   0.562280E+07   0.491617E+04
   104   0.207844E+04   0.784069E+00  -0.212322E+02   0.558516E+07   0.485625E+04
   105   0.210153E+04   0.796093E+00  -0.217806E+02   0.554766E+07   0.479760E+04
   106   0.212483E+04   0.807923E+00  -0.223267E+02   0.551029E+07   0.474018E+04
   107   0.214804E+04   0.819411E+00  -0.228691E+02   0.547307E+07   0.468394E+04
   108   0.217161E+04   0.830632E+00  -0.234085E+02   0.543600E+07   0.462885E+04
   109   0.219532E+04   0.841511E+00  -0.239435E+02   0.539910E+07   0.457485E+04
   110   0.221908E+04   0.852051E+00  -0.244728E+02   0.536236E+07   0.452192E+04
   111   0.224298E+04   0.862324E+00  -0.249977E+02   0.532579E+07   0.447000E+04
   112   0.226701E+04   0.872258E+00  -0.255177E+02   0.528940E+07   0.441908E+04
   113   0.229125E+04   0.881854E+00  -0.260312E+02   0.525319E+07   0.436912E+04
   114   0.231556E+04   0.891041E+00  -0.265375E+02   0.521715E+07   0.432009E+04
   115   0.234008E+04   0.899967E+00  -0.270367E+02   0.518131E+07   0.427198E+04
   116   0.236460E+04   0.908412E+00  -0.275282E+02   0.514564E+07   0.422475E+04
   117   0.238940E+04   0.916451E+00  -0.280110E+02   0.511016E+07   0.417838E+04
   118   0.241436E+04   0.924234E+00  -0.284861E+02   0.507488E+07   0.413284E+04
   119   0.243931E+04   0.931615E+00  -0.289513E+02   0.503978E+07   0.408810E+04
   120   0.246441E+04   0.938446E+00  -0.294066E+02   0.500487E+07   0.404415E+04
   121   0.248951E+04   0.945026E+00  -0.298519E+02   0.497016E+07   0.400094E+04
   122   0.251470E+04   0.951059E+00  -0.302867E+02   0.493565E+07   0.395847E+04
   123   0.253996E+04   0.956621E+00  -0.307110E+02   0.490133E+07   0.391669E+04
   124   0.256530E+04   0.961789E+00  -0.311217E+02   0.486722E+07   0.387558E+04
   125   0.259066E+04   0.966488E+00  -0.315212E+02   0.483331E+07   0.383512E+04
   126   0.261610E+04   0.970795E+00  -0.319088E+02   0.479960E+07   0.379528E+04
   127   0.264155E+04   0.974563E+00  -0.322838E+02   0.476610E+07   0.375603E+04
   128   0.266701E+04   0.977941E+00  -0.326454E+02   0.473281E+07   0.371735E+04
   129   0.269257E+04   0.980784E+00  -0.329930E+02   0.469974E+07   0.367921E+04
   130   0.271814E+04   0.983092E+00  -0.333258E+02   0.466687E+07   0.364159E+04
   131   0.274374E+04   0.985016E+00  -0.336454E+02   0.463422E+07   0.360446E+04
   132   0.276943E+04   0.986410E+00  -0.339488E+02   0.460178E+07   0.356780E+04
   133   0.279506E+04   0.987352E+00  -0.342385E+02   0.456956E+07   0.353163E+04
   134   0.282071E+04   0.987846E+00  -0.345100E+02   0.453755E+07   0.349594E+04
   135   0.284638E+04   0.987821E+00  -0.347665E+02   0.450576E+07   0.346071E+04
   136   0.287192E+04   0.987280E+00  -0.350043E+02   0.447418E+07   0.342595E+04
   137   0.289748E+04   0.986302E+00  -0.352257E+02   0.444281E+07   0.339165E+04
   138   0.292298E+04   0.984815E+00  -0.354294E+02   0.441166E+07   0.335781E+04
   139   0.294828E+04   0.982971E+00  -0.356148E+02   0.438071E+07   0.332442E+04
   140   0.297367E+04   0.980552E+00  -0.357826E+02   0.434998E+07   0.329148E+04
   141   0.299885E+04   0.977635E+00  -0.359307E+02   0.431947E+07   0.325899E+04
   142   0.302405E+04   0.974297E+00  -0.360600E+02   0.428916E+07   0.322693E+04
   143   0.304919E+04   0.970543E+00  -0.361706E+02   0.425906E+07   0.319531E+04
   144   0.307413E+04   0.966301E+00  -0.362618E+02   0.422918E+07   0.316412E+04
   145   0.309893E+04   0.961724E+00  -0.363330E+02   0.419950E+07   0.313336E+04
   146   0.312382E+04   0.956593E+00  -0.363843E+02   0.417004E+07   0.310303E+04
   147   0.314836E+04   0.951132E+00  -0.364143E+02   0.414078E+07   0.307311E+04
   148   0.317276E+04   0.945199E+00  -0.364246E+02   0.411174E+07   0.304360E+04
