#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   585   0.163815E+04   0.404296E+01   0.706333E-05   0.404296E+01   0.216230E+02  -0.936506E-06   0.706333E-05  -0.936506E-06   0.902861E-08
   586   0.163260E+04   0.314806E+01   0.713010E-05   0.314806E+01   0.218705E+02  -0.945163E-06   0.713010E-05  -0.945163E-06   0.899543E-08
   587   0.162722E+04   0.222913E+01   0.719679E-05   0.222913E+01   0.221172E+02  -0.953669E-06   0.719679E-05  -0.953669E-06   0.896242E-08
   588   0.162185E+04   0.128534E+01   0.726339E-05   0.128534E+01   0.223617E+02  -0.962024E-06   0.726339E-05  -0.962024E-06   0.892958E-08
   589   0.161659E+04   0.318809E+00   0.732987E-05   0.318809E+00   0.226046E+02  -0.970225E-06   0.732987E-05  -0.970225E-06   0.889690E-08
   590   0.161141E+04  -0.670566E+00   0.739622E-05  -0.670566E+00   0.228444E+02  -0.978271E-06   0.739622E-05  -0.978271E-06   0.886440E-08
   591   0.160641E+04  -0.168288E+01   0.746242E-05  -0.168288E+01   0.230833E+02  -0.986160E-06   0.746242E-05  -0.986160E-06   0.883206E-08
   592   0.160151E+04  -0.271824E+01   0.752843E-05  -0.271824E+01   0.233182E+02  -0.993891E-06   0.752843E-05  -0.993891E-06   0.879989E-08
   593   0.159669E+04  -0.377377E+01   0.759424E-05  -0.377377E+01   0.235522E+02  -0.100146E-05   0.759424E-05  -0.100146E-05   0.876789E-08
   594   0.159190E+04  -0.485181E+01   0.765982E-05  -0.485181E+01   0.237830E+02  -0.100887E-05   0.765982E-05  -0.100887E-05   0.873604E-08
   595   0.158728E+04  -0.594947E+01   0.772516E-05  -0.594947E+01   0.240097E+02  -0.101612E-05   0.772516E-05  -0.101612E-05   0.870436E-08
   596   0.158291E+04  -0.706835E+01   0.779023E-05  -0.706835E+01   0.242353E+02  -0.102320E-05   0.779023E-05  -0.102320E-05   0.867284E-08
   597   0.157862E+04  -0.820633E+01   0.785501E-05  -0.820633E+01   0.244553E+02  -0.103012E-05   0.785501E-05  -0.103012E-05   0.864148E-08
   598   0.157466E+04  -0.936349E+01   0.791948E-05  -0.936349E+01   0.246734E+02  -0.103687E-05   0.791948E-05  -0.103687E-05   0.861028E-08
   599   0.157072E+04  -0.105385E+02   0.798361E-05  -0.105385E+02   0.248881E+02  -0.104345E-05   0.798361E-05  -0.104345E-05   0.857924E-08
   600   0.156687E+04  -0.117321E+02   0.804739E-05  -0.117321E+02   0.250993E+02  -0.104986E-05   0.804739E-05  -0.104986E-05   0.854835E-08
   601   0.156319E+04  -0.129430E+02   0.811079E-05  -0.129430E+02   0.253070E+02  -0.105609E-05   0.811079E-05  -0.105609E-05   0.851761E-08
   602   0.155968E+04  -0.141716E+02   0.817381E-05  -0.141716E+02   0.255098E+02  -0.106216E-05   0.817381E-05  -0.106216E-05   0.848703E-08
   603   0.155625E+04  -0.154151E+02   0.823644E-05  -0.154151E+02   0.257100E+02  -0.106805E-05   0.823644E-05  -0.106805E-05   0.845661E-08
   604   0.155313E+04  -0.166755E+02   0.829867E-05  -0.166755E+02   0.259054E+02  -0.107378E-05   0.829867E-05  -0.107378E-05   0.842633E-08
   605   0.155009E+04  -0.179516E+02   0.836051E-05  -0.179516E+02   0.260969E+02  -0.107933E-05   0.836051E-05  -0.107933E-05   0.839621E-08
   606   0.154728E+04  -0.192430E+02   0.842194E-05  -0.192430E+02   0.262844E+02  -0.108471E-05   0.842194E-05  -0.108471E-05   0.836624E-08
   607   0.154438E+04  -0.205494E+02   0.848297E-05  -0.205494E+02   0.264682E+02  -0.108993E-05   0.848297E-05  -0.108993E-05   0.833642E-08
   608   0.154185E+04  -0.218703E+02   0.854358E-05  -0.218703E+02   0.266482E+02  -0.109498E-05   0.854358E-05  -0.109498E-05   0.830675E-08
   609   0.153954E+04  -0.232054E+02   0.860378E-05  -0.232054E+02   0.268231E+02  -0.109986E-05   0.860378E-05  -0.109986E-05   0.827722E-08
   610   0.153728E+04  -0.245543E+02   0.866355E-05  -0.245543E+02   0.269937E+02  -0.110457E-05   0.866355E-05  -0.110457E-05   0.824784E-08
   611   0.153523E+04  -0.259158E+02   0.872289E-05  -0.259158E+02   0.271608E+02  -0.110912E-05   0.872289E-05  -0.110912E-05   0.821862E-08
   612   0.153338E+04  -0.272888E+02   0.878180E-05  -0.272888E+02   0.273245E+02  -0.111350E-05   0.878180E-05  -0.111350E-05   0.818953E-08
   613   0.153158E+04  -0.286751E+02   0.884028E-05  -0.286751E+02   0.274810E+02  -0.111771E-05   0.884028E-05  -0.111771E-05   0.816059E-08
   614   0.153004E+04  -0.300729E+02   0.889831E-05  -0.300729E+02   0.276351E+02  -0.112177E-05   0.889831E-05  -0.112177E-05   0.813180E-08
   615   0.152862E+04  -0.314811E+02   0.895589E-05  -0.314811E+02   0.277837E+02  -0.112565E-05   0.895589E-05  -0.112565E-05   0.810315E-08
   616   0.152739E+04  -0.328992E+02   0.901302E-05  -0.328992E+02   0.279292E+02  -0.112938E-05   0.901302E-05  -0.112938E-05   0.807464E-08
   617   0.152641E+04  -0.343269E+02   0.906970E-05  -0.343269E+02   0.280701E+02  -0.113294E-05   0.906970E-05  -0.113294E-05   0.804627E-08
   618   0.152553E+04  -0.357646E+02   0.912591E-05  -0.357646E+02   0.282066E+02  -0.113634E-05   0.912591E-05  -0.113634E-05   0.801804E-08
   619   0.152475E+04  -0.372087E+02   0.918166E-05  -0.372087E+02   0.283395E+02  -0.113958E-05   0.918166E-05  -0.113958E-05   0.798996E-08
   620   0.152429E+04  -0.386613E+02   0.923693E-05  -0.386613E+02   0.284658E+02  -0.114266E-05   0.923693E-05  -0.114266E-05   0.796201E-08
   621   0.152384E+04  -0.401212E+02   0.929172E-05  -0.401212E+02   0.285886E+02  -0.114558E-05   0.929172E-05  -0.114558E-05   0.793420E-08
   622   0.152363E+04  -0.415879E+02   0.934604E-05  -0.415879E+02   0.287065E+02  -0.114834E-05   0.934604E-05  -0.114834E-05   0.790653E-08
   623   0.152366E+04  -0.430590E+02   0.939986E-05  -0.430590E+02   0.288188E+02  -0.115094E-05   0.939986E-05  -0.115094E-05   0.787900E-08
   624   0.152376E+04  -0.445353E+02   0.945320E-05  -0.445353E+02   0.289263E+02  -0.115338E-05   0.945320E-05  -0.115338E-05   0.785160E-08
   625   0.152401E+04  -0.460167E+02   0.950604E-05  -0.460167E+02   0.290292E+02  -0.115566E-05   0.950604E-05  -0.115566E-05   0.782434E-08
   626   0.152448E+04  -0.475012E+02   0.955838E-05  -0.475012E+02   0.291275E+02  -0.115779E-05   0.955838E-05  -0.115779E-05   0.779721E-08
   627   0.152517E+04  -0.489884E+02   0.961021E-05  -0.489884E+02   0.292205E+02  -0.115976E-05   0.961021E-05  -0.115976E-05   0.777021E-08
   628   0.152599E+04  -0.504779E+02   0.966152E-05  -0.504779E+02   0.293083E+02  -0.116157E-05   0.966152E-05  -0.116157E-05   0.774335E-08
   629   0.152702E+04  -0.519686E+02   0.971233E-05  -0.519686E+02   0.293909E+02  -0.116323E-05   0.971233E-05  -0.116323E-05   0.771662E-08
   630   0.152811E+04  -0.534608E+02   0.976261E-05  -0.534608E+02   0.294685E+02  -0.116473E-05   0.976261E-05  -0.116473E-05   0.769002E-08
   631   0.152940E+04  -0.549513E+02   0.981236E-05  -0.549513E+02   0.295412E+02  -0.116608E-05   0.981236E-05  -0.116608E-05   0.766355E-08
   632   0.153096E+04  -0.564418E+02   0.986159E-05  -0.564418E+02   0.296082E+02  -0.116728E-05   0.986159E-05  -0.116728E-05   0.763721E-08
   633   0.153256E+04  -0.579297E+02   0.991028E-05  -0.579297E+02   0.296711E+02  -0.116832E-05   0.991028E-05  -0.116832E-05   0.761100E-08
   634   0.153443E+04  -0.594146E+02   0.995842E-05  -0.594146E+02   0.297271E+02  -0.116922E-05   0.995842E-05  -0.116922E-05   0.758491E-08
   635   0.153648E+04  -0.608958E+02   0.100060E-04  -0.608958E+02   0.297791E+02  -0.116996E-05   0.100060E-04  -0.116996E-05   0.755895E-08
   636   0.153856E+04  -0.623722E+02   0.100531E-04  -0.623722E+02   0.298265E+02  -0.117055E-05   0.100531E-04  -0.117055E-05   0.753312E-08
   637   0.154089E+04  -0.638440E+02   0.100996E-04  -0.638440E+02   0.298664E+02  -0.117098E-05   0.100996E-04  -0.117098E-05   0.750742E-08
   638   0.154339E+04  -0.653087E+02   0.101455E-04  -0.653087E+02   0.299026E+02  -0.117127E-05   0.101455E-04  -0.117127E-05   0.748183E-08
   639   0.154607E+04  -0.667669E+02   0.101909E-04  -0.667669E+02   0.299322E+02  -0.117141E-05   0.101909E-04  -0.117141E-05   0.745638E-08
   640   0.154891E+04  -0.682165E+02   0.102357E-04  -0.682165E+02   0.299575E+02  -0.117140E-05   0.102357E-04  -0.117140E-05   0.743104E-08
   641   0.155191E+04  -0.696572E+02   0.102799E-04  -0.696572E+02   0.299771E+02  -0.117125E-05   0.102799E-04  -0.117125E-05   0.740583E-08
   642   0.155499E+04  -0.710879E+02   0.103235E-04  -0.710879E+02   0.299903E+02  -0.117094E-05   0.103235E-04  -0.117094E-05   0.738073E-08
   643   0.155830E+04  -0.725077E+02   0.103666E-04  -0.725077E+02   0.299994E+02  -0.117049E-05   0.103666E-04  -0.117049E-05   0.735576E-08
   644   0.156183E+04  -0.739155E+02   0.104091E-04  -0.739155E+02   0.300008E+02  -0.116990E-05   0.104091E-04  -0.116990E-05   0.733091E-08
   645   0.156544E+04  -0.753106E+02   0.104509E-04  -0.753106E+02   0.299976E+02  -0.116915E-05   0.104509E-04  -0.116915E-05   0.730618E-08
   646   0.156918E+04  -0.766920E+02   0.104922E-04  -0.766920E+02   0.299890E+02  -0.116827E-05   0.104922E-04  -0.116827E-05   0.728156E-08
   647   0.157321E+04  -0.780591E+02   0.105329E-04  -0.780591E+02   0.299744E+02  -0.116724E-05   0.105329E-04  -0.116724E-05   0.725706E-08
   648   0.157723E+04  -0.794097E+02   0.105729E-04  -0.794097E+02   0.299546E+02  -0.116606E-05   0.105729E-04  -0.116606E-05   0.723268E-08
   649   0.158152E+04  -0.807440E+02   0.106124E-04  -0.807440E+02   0.299282E+02  -0.116474E-05   0.106124E-04  -0.116474E-05   0.720841E-08
   650   0.158594E+04  -0.820602E+02   0.106512E-04  -0.820602E+02   0.298961E+02  -0.116328E-05   0.106512E-04  -0.116328E-05   0.718425E-08
   651   0.159048E+04  -0.833581E+02   0.106894E-04  -0.833581E+02   0.298597E+02  -0.116168E-05   0.106894E-04  -0.116168E-05   0.716021E-08
   652   0.159514E+04  -0.846371E+02   0.107270E-04  -0.846371E+02   0.298170E+02  -0.115994E-05   0.107270E-04  -0.115994E-05   0.713629E-08
   653   0.160007E+04  -0.858961E+02   0.107639E-04  -0.858961E+02   0.297674E+02  -0.115805E-05   0.107639E-04  -0.115805E-05   0.711247E-08
   654   0.160502E+04  -0.871347E+02   0.108002E-04  -0.871347E+02   0.297132E+02  -0.115603E-05   0.108002E-04  -0.115603E-05   0.708877E-08
   655   0.161009E+04  -0.883540E+02   0.108359E-04  -0.883540E+02   0.296537E+02  -0.115387E-05   0.108359E-04  -0.115387E-05   0.706518E-08
   656   0.161541E+04  -0.895529E+02   0.108710E-04  -0.895529E+02   0.295885E+02  -0.115157E-05   0.108710E-04  -0.115157E-05   0.704170E-08
   657   0.162082E+04  -0.907302E+02   0.109054E-04  -0.907302E+02   0.295175E+02  -0.114913E-05   0.109054E-04  -0.114913E-05   0.701833E-08
   658   0.162626E+04  -0.918871E+02   0.109392E-04  -0.918871E+02   0.294417E+02  -0.114656E-05   0.109392E-04  -0.114656E-05   0.699507E-08
   659   0.163202E+04  -0.930224E+02   0.109724E-04  -0.930224E+02   0.293605E+02  -0.114385E-05   0.109724E-04  -0.114385E-05   0.697191E-08
   660   0.163786E+04  -0.941357E+02   0.110049E-04  -0.941357E+02   0.292731E+02  -0.114101E-05   0.110049E-04  -0.114101E-05   0.694887E-08
   661   0.164379E+04  -0.952259E+02   0.110368E-04  -0.952259E+02   0.291806E+02  -0.113804E-05   0.110368E-04  -0.113804E-05   0.692593E-08
   662   0.164987E+04  -0.962948E+02   0.110680E-04  -0.962948E+02   0.290837E+02  -0.113493E-05   0.110680E-04  -0.113493E-05   0.690310E-08
   663   0.165604E+04  -0.973414E+02   0.110986E-04  -0.973414E+02   0.289819E+02  -0.113169E-05   0.110986E-04  -0.113169E-05   0.688038E-08
   664   0.166235E+04  -0.983636E+02   0.111286E-04  -0.983636E+02   0.288737E+02  -0.112832E-05   0.111286E-04  -0.112832E-05   0.685776E-08
   665   0.166873E+04  -0.993627E+02   0.111579E-04  -0.993627E+02   0.287608E+02  -0.112482E-05   0.111579E-04  -0.112482E-05   0.683525E-08
   666   0.167525E+04  -0.100338E+03   0.111866E-04  -0.100338E+03   0.286433E+02  -0.112119E-05   0.111866E-04  -0.112119E-05   0.681285E-08
   667   0.168191E+04  -0.101288E+03   0.112147E-04  -0.101288E+03   0.285206E+02  -0.111744E-05   0.112147E-04  -0.111744E-05   0.679054E-08
   668   0.168856E+04  -0.102215E+03   0.112421E-04  -0.102215E+03   0.283936E+02  -0.111355E-05   0.112421E-04  -0.111355E-05   0.676834E-08
   669   0.169549E+04  -0.103116E+03   0.112688E-04  -0.103116E+03   0.282616E+02  -0.110954E-05   0.112688E-04  -0.110954E-05   0.674625E-08
   670   0.170239E+04  -0.103990E+03   0.112949E-04  -0.103990E+03   0.281248E+02  -0.110540E-05   0.112949E-04  -0.110540E-05   0.672425E-08
   671   0.170949E+04  -0.104840E+03   0.113204E-04  -0.104840E+03   0.279847E+02  -0.110114E-05   0.113204E-04  -0.110114E-05   0.670236E-08
   672   0.171656E+04  -0.105664E+03   0.113452E-04  -0.105664E+03   0.278386E+02  -0.109675E-05   0.113452E-04  -0.109675E-05   0.668057E-08
   673   0.172383E+04  -0.106460E+03   0.113694E-04  -0.106460E+03   0.276895E+02  -0.109224E-05   0.113694E-04  -0.109224E-05   0.665888E-08
   674   0.173113E+04  -0.107229E+03   0.113929E-04  -0.107229E+03   0.275353E+02  -0.108761E-05   0.113929E-04  -0.108761E-05   0.663728E-08
   675   0.173853E+04  -0.107971E+03   0.114157E-04  -0.107971E+03   0.273768E+02  -0.108285E-05   0.114157E-04  -0.108285E-05   0.661579E-08
   676   0.174597E+04  -0.108685E+03   0.114379E-04  -0.108685E+03   0.272143E+02  -0.107798E-05   0.114379E-04  -0.107798E-05   0.659440E-08
   677   0.175352E+04  -0.109370E+03   0.114595E-04  -0.109370E+03   0.270478E+02  -0.107298E-05   0.114595E-04  -0.107298E-05   0.657310E-08
   678   0.176115E+04  -0.110028E+03   0.114804E-04  -0.110028E+03   0.268768E+02  -0.106787E-05   0.114804E-04  -0.106787E-05   0.655191E-08
   679   0.176881E+04  -0.110656E+03   0.115006E-04  -0.110656E+03   0.267027E+02  -0.106264E-05   0.115006E-04  -0.106264E-05   0.653081E-08
   680   0.177664E+04  -0.111255E+03   0.115202E-04  -0.111255E+03   0.265250E+02  -0.105729E-05   0.115202E-04  -0.105729E-05   0.650980E-08
   681   0.178447E+04  -0.111823E+03   0.115391E-04  -0.111823E+03   0.263432E+02  -0.105182E-05   0.115391E-04  -0.105182E-05   0.648889E-08
   682   0.179232E+04  -0.112362E+03   0.115573E-04  -0.112362E+03   0.261572E+02  -0.104624E-05   0.115573E-04  -0.104624E-05   0.646808E-08
   683   0.180032E+04  -0.112871E+03   0.115749E-04  -0.112871E+03   0.259695E+02  -0.104054E-05   0.115749E-04  -0.104054E-05   0.644736E-08
   684   0.180824E+04  -0.113350E+03   0.115919E-04  -0.113350E+03   0.257764E+02  -0.103473E-05   0.115919E-04  -0.103473E-05   0.642673E-08
   685   0.181617E+04  -0.113797E+03   0.116081E-04  -0.113797E+03   0.255811E+02  -0.102880E-05   0.116081E-04  -0.102880E-05   0.640620E-08
   686   0.182416E+04  -0.114205E+03   0.116237E-04  -0.114205E+03   0.253822E+02  -0.102276E-05   0.116237E-04  -0.102276E-05   0.638576E-08
   687   0.183229E+04  -0.114585E+03   0.116386E-04  -0.114585E+03   0.251813E+02  -0.101661E-05   0.116386E-04  -0.101661E-05   0.636541E-08
   688   0.184033E+04  -0.114935E+03   0.116529E-04  -0.114935E+03   0.249763E+02  -0.101035E-05   0.116529E-04  -0.101035E-05   0.634516E-08
   689   0.184844E+04  -0.115248E+03   0.116665E-04  -0.115248E+03   0.247689E+02  -0.100399E-05   0.116665E-04  -0.100399E-05   0.632499E-08
   690   0.185652E+04  -0.115532E+03   0.116794E-04  -0.115532E+03   0.245598E+02  -0.997506E-06   0.116794E-04  -0.997506E-06   0.630492E-08
   691   0.186465E+04  -0.115780E+03   0.116917E-04  -0.115780E+03   0.243462E+02  -0.990919E-06   0.116917E-04  -0.990919E-06   0.628493E-08
   692   0.187276E+04  -0.115992E+03   0.117032E-04  -0.115992E+03   0.241320E+02  -0.984224E-06   0.117032E-04  -0.984224E-06   0.626504E-08
   693   0.188091E+04  -0.116176E+03   0.117141E-04  -0.116176E+03   0.239151E+02  -0.977423E-06   0.117141E-04  -0.977423E-06   0.624523E-08
   694   0.188895E+04  -0.116317E+03   0.117244E-04  -0.116317E+03   0.236956E+02  -0.970517E-06   0.117244E-04  -0.970517E-06   0.622551E-08
   695   0.189710E+04  -0.116423E+03   0.117339E-04  -0.116423E+03   0.234758E+02  -0.963505E-06   0.117339E-04  -0.963505E-06   0.620588E-08
   696   0.190520E+04  -0.116510E+03   0.117428E-04  -0.116510E+03   0.232529E+02  -0.956389E-06   0.117428E-04  -0.956389E-06   0.618633E-08
   697   0.191327E+04  -0.116548E+03   0.117510E-04  -0.116548E+03   0.230285E+02  -0.949170E-06   0.117510E-04  -0.949170E-06   0.616687E-08
   698   0.192128E+04  -0.116552E+03   0.117585E-04  -0.116552E+03   0.228020E+02  -0.941849E-06   0.117585E-04  -0.941849E-06   0.614750E-08
   699   0.192924E+04  -0.116515E+03   0.117653E-04  -0.116515E+03   0.225750E+02  -0.934426E-06   0.117653E-04  -0.934426E-06   0.612821E-08
   700   0.193722E+04  -0.116445E+03   0.117715E-04  -0.116445E+03   0.223461E+02  -0.926902E-06   0.117715E-04  -0.926902E-06   0.610901E-08
   701   0.194514E+04  -0.116343E+03   0.117769E-04  -0.116343E+03   0.221162E+02  -0.919279E-06   0.117769E-04  -0.919279E-06   0.608988E-08
   702   0.195299E+04  -0.116194E+03   0.117817E-04  -0.116194E+03   0.218861E+02  -0.911558E-06   0.117817E-04  -0.911558E-06   0.607085E-08
   703   0.196079E+04  -0.116028E+03   0.117858E-04  -0.116028E+03   0.216543E+02  -0.903741E-06   0.117858E-04  -0.903741E-06   0.605189E-08
   704   0.196854E+04  -0.115810E+03   0.117892E-04  -0.115810E+03   0.214223E+02  -0.895829E-06   0.117892E-04  -0.895829E-06   0.603302E-08
   705   0.197614E+04  -0.115555E+03   0.117920E-04  -0.115555E+03   0.211887E+02  -0.887825E-06   0.117920E-04  -0.887825E-06   0.601423E-08
   706   0.198377E+04  -0.115272E+03   0.117940E-04  -0.115272E+03   0.209551E+02  -0.879730E-06   0.117940E-04  -0.879730E-06   0.599552E-08
   707   0.199127E+04  -0.114953E+03   0.117953E-04  -0.114953E+03   0.207206E+02  -0.871547E-06   0.117953E-04  -0.871547E-06   0.597689E-08
   708   0.199885E+04  -0.114584E+03   0.117960E-04  -0.114584E+03   0.204861E+02  -0.863276E-06   0.117960E-04  -0.863276E-06   0.595835E-08
   709   0.200623E+04  -0.114197E+03   0.117960E-04  -0.114197E+03   0.202509E+02  -0.854921E-06   0.117960E-04  -0.854921E-06   0.593988E-08
   710   0.201364E+04  -0.113769E+03   0.117953E-04  -0.113769E+03   0.200150E+02  -0.846482E-06   0.117953E-04  -0.846482E-06   0.592149E-08
   711   0.202091E+04  -0.113302E+03   0.117939E-04  -0.113302E+03   0.197791E+02  -0.837962E-06   0.117939E-04  -0.837962E-06   0.590319E-08
   712   0.202813E+04  -0.112811E+03   0.117918E-04  -0.112811E+03   0.195434E+02  -0.829363E-06   0.117918E-04  -0.829363E-06   0.588496E-08
   713   0.203537E+04  -0.112274E+03   0.117890E-04  -0.112274E+03   0.193071E+02  -0.820686E-06   0.117890E-04  -0.820686E-06   0.586681E-08
   714   0.204233E+04  -0.111708E+03   0.117855E-04  -0.111708E+03   0.190716E+02  -0.811933E-06   0.117855E-04  -0.811933E-06   0.584873E-08
   715   0.204931E+04  -0.111112E+03   0.117814E-04  -0.111112E+03   0.188357E+02  -0.803106E-06   0.117814E-04  -0.803106E-06   0.583074E-08
   716   0.205625E+04  -0.110481E+03   0.117765E-04  -0.110481E+03   0.186000E+02  -0.794206E-06   0.117765E-04  -0.794206E-06   0.581282E-08
   717   0.206305E+04  -0.109808E+03   0.117710E-04  -0.109808E+03   0.183653E+02  -0.785237E-06   0.117710E-04  -0.785237E-06   0.579498E-08
   718   0.206973E+04  -0.109116E+03   0.117647E-04  -0.109116E+03   0.181309E+02  -0.776199E-06   0.117647E-04  -0.776199E-06   0.577722E-08
   719   0.207637E+04  -0.108375E+03   0.117578E-04  -0.108375E+03   0.178954E+02  -0.767095E-06   0.117578E-04  -0.767095E-06   0.575953E-08
   720   0.208280E+04  -0.107617E+03   0.117502E-04  -0.107617E+03   0.176617E+02  -0.757926E-06   0.117502E-04  -0.757926E-06   0.574192E-08
   721   0.208933E+04  -0.106812E+03   0.117419E-04  -0.106812E+03   0.174299E+02  -0.748694E-06   0.117419E-04  -0.748694E-06   0.572438E-08
   722   0.209559E+04  -0.105977E+03   0.117329E-04  -0.105977E+03   0.171979E+02  -0.739401E-06   0.117329E-04  -0.739401E-06   0.570692E-08
   723   0.210180E+04  -0.105119E+03   0.117232E-04  -0.105119E+03   0.169678E+02  -0.730048E-06   0.117232E-04  -0.730048E-06   0.568953E-08
   724   0.210789E+04  -0.104231E+03   0.117128E-04  -0.104231E+03   0.167382E+02  -0.720639E-06   0.117128E-04  -0.720639E-06   0.567222E-08
   725   0.211386E+04  -0.103308E+03   0.117017E-04  -0.103308E+03   0.165106E+02  -0.711174E-06   0.117017E-04  -0.711174E-06   0.565498E-08
   726   0.211978E+04  -0.102349E+03   0.116899E-04  -0.102349E+03   0.162859E+02  -0.701655E-06   0.116899E-04  -0.701655E-06   0.563781E-08
   727   0.212551E+04  -0.101372E+03   0.116774E-04  -0.101372E+03   0.160610E+02  -0.692084E-06   0.116774E-04  -0.692084E-06   0.562071E-08
   728   0.213112E+04  -0.100360E+03   0.116642E-04  -0.100360E+03   0.158367E+02  -0.682464E-06   0.116642E-04  -0.682464E-06   0.560369E-08
   729   0.213661E+04  -0.993235E+02   0.116503E-04  -0.993235E+02   0.156154E+02  -0.672795E-06   0.116503E-04  -0.672795E-06   0.558674E-08
   730   0.214190E+04  -0.982549E+02   0.116357E-04  -0.982549E+02   0.153962E+02  -0.663080E-06   0.116357E-04  -0.663080E-06   0.556986E-08
   731   0.214723E+04  -0.971552E+02   0.116204E-04  -0.971552E+02   0.151778E+02  -0.653321E-06   0.116204E-04  -0.653321E-06   0.555305E-08
   732   0.215229E+04  -0.960251E+02   0.116044E-04  -0.960251E+02   0.149639E+02  -0.643519E-06   0.116044E-04  -0.643519E-06   0.553631E-08
   733   0.215731E+04  -0.948804E+02   0.115878E-04  -0.948804E+02   0.147508E+02  -0.633677E-06   0.115878E-04  -0.633677E-06   0.551964E-08
   734   0.216213E+04  -0.936920E+02   0.115704E-04  -0.936920E+02   0.145408E+02  -0.623795E-06   0.115704E-04  -0.623795E-06   0.550304E-08
   735   0.216684E+04  -0.924980E+02   0.115523E-04  -0.924980E+02   0.143324E+02  -0.613877E-06   0.115523E-04  -0.613877E-06   0.548650E-08
   736   0.217129E+04  -0.912620E+02   0.115335E-04  -0.912620E+02   0.141271E+02  -0.603923E-06   0.115335E-04  -0.603923E-06   0.547004E-08
   737   0.217569E+04  -0.900144E+02   0.115140E-04  -0.900144E+02   0.139258E+02  -0.593936E-06   0.115140E-04  -0.593936E-06   0.545365E-08
   738   0.217984E+04  -0.887264E+02   0.114938E-04  -0.887264E+02   0.137276E+02  -0.583918E-06   0.114938E-04  -0.583918E-06   0.543732E-08
   739   0.218387E+04  -0.874211E+02   0.114729E-04  -0.874211E+02   0.135320E+02  -0.573870E-06   0.114729E-04  -0.573870E-06   0.542106E-08
   740   0.218771E+04  -0.860993E+02   0.114513E-04  -0.860993E+02   0.133396E+02  -0.563794E-06   0.114513E-04  -0.563794E-06   0.540487E-08
   741   0.219143E+04  -0.847542E+02   0.114290E-04  -0.847542E+02   0.131498E+02  -0.553692E-06   0.114290E-04  -0.553692E-06   0.538874E-08
   742   0.219498E+04  -0.833793E+02   0.114060E-04  -0.833793E+02   0.129663E+02  -0.543566E-06   0.114060E-04  -0.543566E-06   0.537268E-08
   743   0.219833E+04  -0.819903E+02   0.113823E-04  -0.819903E+02   0.127869E+02  -0.533418E-06   0.113823E-04  -0.533418E-06   0.535669E-08
   744   0.220158E+04  -0.805730E+02   0.113579E-04  -0.805730E+02   0.126102E+02  -0.523250E-06   0.113579E-04  -0.523250E-06   0.534076E-08
   745   0.220456E+04  -0.791506E+02   0.113328E-04  -0.791506E+02   0.124376E+02  -0.513063E-06   0.113328E-04  -0.513063E-06   0.532489E-08
   746   0.220729E+04  -0.776867E+02   0.113069E-04  -0.776867E+02   0.122701E+02  -0.502859E-06   0.113069E-04  -0.502859E-06   0.530909E-08
   747   0.220983E+04  -0.762192E+02   0.112804E-04  -0.762192E+02   0.121060E+02  -0.492641E-06   0.112804E-04  -0.492641E-06   0.529336E-08
   748   0.221227E+04  -0.747341E+02   0.112531E-04  -0.747341E+02   0.119477E+02  -0.482409E-06   0.112531E-04  -0.482409E-06   0.527769E-08
   749   0.221452E+04  -0.732396E+02   0.112252E-04  -0.732396E+02   0.117922E+02  -0.472166E-06   0.112252E-04  -0.472166E-06   0.526208E-08
   750   0.221651E+04  -0.717217E+02   0.111965E-04  -0.717217E+02   0.116433E+02  -0.461914E-06   0.111965E-04  -0.461914E-06   0.524653E-08
   751   0.221833E+04  -0.701884E+02   0.111671E-04  -0.701884E+02   0.114988E+02  -0.451655E-06   0.111671E-04  -0.451655E-06   0.523104E-08
   752   0.221997E+04  -0.686329E+02   0.111371E-04  -0.686329E+02   0.113608E+02  -0.441389E-06   0.111371E-04  -0.441389E-06   0.521562E-08
   753   0.222135E+04  -0.670703E+02   0.111063E-04  -0.670703E+02   0.112262E+02  -0.431118E-06   0.111063E-04  -0.431118E-06   0.520026E-08
   754   0.222250E+04  -0.654863E+02   0.110749E-04  -0.654863E+02   0.110978E+02  -0.420843E-06   0.110749E-04  -0.420843E-06   0.518496E-08
   755   0.222356E+04  -0.638961E+02   0.110428E-04  -0.638961E+02   0.109742E+02  -0.410566E-06   0.110428E-04  -0.410566E-06   0.516972E-08
   756   0.222423E+04  -0.622927E+02   0.110100E-04  -0.622927E+02   0.108559E+02  -0.400287E-06   0.110100E-04  -0.400287E-06   0.515454E-08
   757   0.222489E+04  -0.606690E+02   0.109766E-04  -0.606690E+02   0.107435E+02  -0.390008E-06   0.109766E-04  -0.390008E-06   0.513942E-08
   758   0.222518E+04  -0.590329E+02   0.109426E-04  -0.590329E+02   0.106355E+02  -0.379729E-06   0.109426E-04  -0.379729E-06   0.512436E-08
   759   0.222540E+04  -0.573922E+02   0.109080E-04  -0.573922E+02   0.105324E+02  -0.369453E-06   0.109080E-04  -0.369453E-06   0.510936E-08
   760   0.222533E+04  -0.557399E+02   0.108728E-04  -0.557399E+02   0.104350E+02  -0.359180E-06   0.108728E-04  -0.359180E-06   0.509442E-08
