#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    43   0.103798E+04   0.177918E+01   0.764691E-03   0.177918E+01   0.723642E-01  -0.112966E-05   0.764691E-03  -0.112966E-05   0.169166E-06
    44   0.105012E+04   0.169635E+01   0.748944E-03   0.169635E+01   0.780124E-01  -0.102212E-05   0.748944E-03  -0.102212E-05   0.168838E-06
    45   0.106252E+04   0.160259E+01   0.733609E-03   0.160259E+01   0.839559E-01  -0.929495E-06   0.733609E-03  -0.929495E-06   0.168471E-06
    46   0.107511E+04   0.149665E+01   0.718656E-03   0.149665E+01   0.902059E-01  -0.859871E-06   0.718656E-03  -0.859871E-06   0.168067E-06
    47   0.108774E+04   0.137993E+01   0.704099E-03   0.137993E+01   0.967512E-01  -0.817545E-06   0.704099E-03  -0.817545E-06   0.167629E-06
    48   0.110035E+04   0.125720E+01   0.689966E-03   0.125720E+01   0.103582E+00  -0.805862E-06   0.689966E-03  -0.805862E-06   0.167158E-06
    49   0.111302E+04   0.113262E+01   0.676281E-03   0.113262E+01   0.110666E+00  -0.828167E-06   0.676281E-03  -0.828167E-06   0.166656E-06
    50   0.112598E+04   0.100356E+01   0.663072E-03   0.100356E+01   0.117965E+00  -0.887804E-06   0.663072E-03  -0.887804E-06   0.166126E-06
    51   0.113903E+04   0.865650E+00   0.650353E-03   0.865650E+00   0.125437E+00  -0.984128E-06   0.650353E-03  -0.984128E-06   0.165570E-06
    52   0.115238E+04   0.713094E+00   0.638095E-03   0.713094E+00   0.133171E+00  -0.110053E-05   0.638095E-03  -0.110053E-05   0.164988E-06
    53   0.116567E+04   0.541596E+00   0.626257E-03   0.541596E+00   0.141318E+00  -0.121641E-05   0.626257E-03  -0.121641E-05   0.164383E-06
    54   0.117880E+04   0.354826E+00   0.614797E-03   0.354826E+00   0.149877E+00  -0.131116E-05   0.614797E-03  -0.131116E-05   0.163756E-06
    55   0.119201E+04   0.156572E+00   0.603675E-03   0.156572E+00   0.158828E+00  -0.136420E-05   0.603675E-03  -0.136420E-05   0.163108E-06
    56   0.120551E+04  -0.552415E-01   0.592852E-03  -0.552415E-01   0.168032E+00  -0.136195E-05   0.592852E-03  -0.136195E-05   0.162440E-06
    57   0.121924E+04  -0.279833E+00   0.582296E-03  -0.279833E+00   0.177382E+00  -0.131903E-05   0.582296E-03  -0.131903E-05   0.161753E-06
    58   0.123321E+04  -0.516940E+00   0.571978E-03  -0.516940E+00   0.186883E+00  -0.125706E-05   0.571978E-03  -0.125706E-05   0.161049E-06
    59   0.124729E+04  -0.766320E+00   0.561870E-03  -0.766320E+00   0.196575E+00  -0.119769E-05   0.561870E-03  -0.119769E-05   0.160327E-06
    60   0.126149E+04  -0.102630E+01   0.551942E-03  -0.102630E+01   0.206508E+00  -0.116257E-05   0.551942E-03  -0.116257E-05   0.159589E-06
    61   0.127611E+04  -0.129528E+01   0.542174E-03  -0.129528E+01   0.216774E+00  -0.116695E-05   0.542174E-03  -0.116695E-05   0.158836E-06
    62   0.129056E+04  -0.157435E+01   0.532588E-03  -0.157435E+01   0.227359E+00  -0.120052E-05   0.532588E-03  -0.120052E-05   0.158068E-06
    63   0.130506E+04  -0.186491E+01   0.523212E-03  -0.186491E+01   0.238220E+00  -0.124660E-05   0.523212E-03  -0.124660E-05   0.157287E-06
    64   0.131991E+04  -0.216857E+01   0.514075E-03  -0.216857E+01   0.249367E+00  -0.128852E-05   0.514075E-03  -0.128852E-05   0.156495E-06
    65   0.133474E+04  -0.248634E+01   0.505209E-03  -0.248634E+01   0.260773E+00  -0.130957E-05   0.505209E-03  -0.130957E-05   0.155693E-06
    66   0.134983E+04  -0.281674E+01   0.496636E-03  -0.281674E+01   0.272368E+00  -0.129825E-05   0.496636E-03  -0.129825E-05   0.154882E-06
    67   0.136502E+04  -0.315728E+01   0.488357E-03  -0.315728E+01   0.284155E+00  -0.126374E-05   0.488357E-03  -0.126374E-05   0.154063E-06
    68   0.138061E+04  -0.350655E+01   0.480367E-03  -0.350655E+01   0.296175E+00  -0.122038E-05   0.480367E-03  -0.122038E-05   0.153237E-06
    69   0.139635E+04  -0.386305E+01   0.472661E-03  -0.386305E+01   0.308388E+00  -0.118252E-05   0.472661E-03  -0.118252E-05   0.152404E-06
    70   0.141238E+04  -0.422869E+01   0.465235E-03  -0.422869E+01   0.320835E+00  -0.116452E-05   0.465235E-03  -0.116452E-05   0.151565E-06
    71   0.142854E+04  -0.460600E+01   0.458077E-03  -0.460600E+01   0.333505E+00  -0.117627E-05   0.458077E-03  -0.117627E-05   0.150720E-06
    72   0.144486E+04  -0.499604E+01   0.451153E-03  -0.499604E+01   0.346368E+00  -0.120994E-05   0.451153E-03  -0.120994E-05   0.149871E-06
    73   0.146130E+04  -0.539896E+01   0.444426E-03  -0.539896E+01   0.359387E+00  -0.125323E-05   0.444426E-03  -0.125323E-05   0.149016E-06
    74   0.147789E+04  -0.581345E+01   0.437855E-03  -0.581345E+01   0.372545E+00  -0.129385E-05   0.437855E-03  -0.129385E-05   0.148156E-06
    75   0.149473E+04  -0.623759E+01   0.431402E-03  -0.623759E+01   0.385848E+00  -0.131952E-05   0.431402E-03  -0.131952E-05   0.147291E-06
    76   0.151177E+04  -0.667043E+01   0.425035E-03  -0.667043E+01   0.399293E+00  -0.132094E-05   0.425035E-03  -0.132094E-05   0.146422E-06
    77   0.152909E+04  -0.711192E+01   0.418750E-03  -0.711192E+01   0.412873E+00  -0.130075E-05   0.418750E-03  -0.130075E-05   0.145549E-06
    78   0.154673E+04  -0.756371E+01   0.412553E-03  -0.756371E+01   0.426615E+00  -0.126461E-05   0.412553E-03  -0.126461E-05   0.144672E-06
    79   0.156452E+04  -0.802226E+01   0.406448E-03  -0.802226E+01   0.440466E+00  -0.121814E-05   0.406448E-03  -0.121814E-05   0.143792E-06
    80   0.158260E+04  -0.848921E+01   0.400439E-03  -0.848921E+01   0.454429E+00  -0.116698E-05   0.400439E-03  -0.116698E-05   0.142910E-06
    81   0.160087E+04  -0.896525E+01   0.394530E-03  -0.896525E+01   0.468456E+00  -0.111684E-05   0.394530E-03  -0.111684E-05   0.142027E-06
    82   0.161940E+04  -0.944944E+01   0.388723E-03  -0.944944E+01   0.482565E+00  -0.107366E-05   0.388723E-03  -0.107366E-05   0.141142E-06
    83   0.163811E+04  -0.994135E+01   0.383019E-03  -0.994135E+01   0.496730E+00  -0.104342E-05   0.383019E-03  -0.104342E-05   0.140256E-06
    84   0.165708E+04  -0.104391E+02   0.377421E-03  -0.104391E+02   0.510943E+00  -0.103213E-05   0.377421E-03  -0.103213E-05   0.139370E-06
    85   0.167616E+04  -0.109436E+02   0.371930E-03  -0.109436E+02   0.525178E+00  -0.104578E-05   0.371930E-03  -0.104578E-05   0.138484E-06
    86   0.169541E+04  -0.114540E+02   0.366547E-03  -0.114540E+02   0.539444E+00  -0.108787E-05   0.366547E-03  -0.108787E-05   0.137599E-06
