#    L    TT             EE             BB             TE          
    91   0.179561E+04   0.611082E+00   0.266111E-03  -0.140939E+02
    92   0.181618E+04   0.625204E+00   0.264967E-03  -0.146327E+02
    93   0.183704E+04   0.639255E+00   0.263700E-03  -0.151754E+02
    94   0.185796E+04   0.653198E+00   0.262314E-03  -0.157204E+02
    95   0.187917E+04   0.667032E+00   0.260813E-03  -0.162687E+02
    96   0.190036E+04   0.680744E+00   0.259200E-03  -0.168193E+02
    97   0.192199E+04   0.694319E+00   0.257479E-03  -0.173718E+02
    98   0.194383E+04   0.707750E+00   0.255652E-03  -0.179238E+02
    99   0.196573E+04   0.721000E+00   0.253724E-03  -0.184785E+02
   100   0.198791E+04   0.734070E+00   0.251698E-03  -0.190313E+02
   101   0.201023E+04   0.747018E+00   0.249578E-03  -0.195854E+02
   102   0.203305E+04   0.759697E+00   0.247367E-03  -0.201384E+02
   103   0.205579E+04   0.772182E+00   0.245068E-03  -0.206913E+02
   104   0.207873E+04   0.784473E+00   0.242685E-03  -0.212411E+02
   105   0.210182E+04   0.796495E+00   0.240221E-03  -0.217892E+02
   106   0.212511E+04   0.808324E+00   0.237680E-03  -0.223351E+02
   107   0.214831E+04   0.819810E+00   0.235066E-03  -0.228773E+02
   108   0.217186E+04   0.831030E+00   0.232382E-03  -0.234165E+02
   109   0.219556E+04   0.841908E+00   0.229631E-03  -0.239514E+02
   110   0.221931E+04   0.852445E+00   0.226817E-03  -0.244804E+02
   111   0.224320E+04   0.862716E+00   0.223943E-03  -0.250052E+02
   112   0.226722E+04   0.872648E+00   0.221014E-03  -0.255249E+02
   113   0.229145E+04   0.882243E+00   0.218032E-03  -0.260382E+02
   114   0.231575E+04   0.891427E+00   0.215003E-03  -0.265443E+02
   115   0.234026E+04   0.900350E+00   0.211930E-03  -0.270434E+02
   116   0.236477E+04   0.908793E+00   0.208816E-03  -0.275346E+02
   117   0.238957E+04   0.916829E+00   0.205666E-03  -0.280172E+02
   118   0.241451E+04   0.924609E+00   0.202483E-03  -0.284921E+02
   119   0.243946E+04   0.931987E+00   0.199272E-03  -0.289571E+02
   120   0.246455E+04   0.938815E+00   0.196036E-03  -0.294122E+02
   121   0.248965E+04   0.945391E+00   0.192779E-03  -0.298573E+02
   122   0.251482E+04   0.951421E+00   0.189505E-03  -0.302919E+02
   123   0.254008E+04   0.956980E+00   0.186218E-03  -0.307160E+02
   124   0.256542E+04   0.962143E+00   0.182921E-03  -0.311265E+02
   125   0.259076E+04   0.966839E+00   0.179620E-03  -0.315258E+02
   126   0.261620E+04   0.971142E+00   0.176317E-03  -0.319133E+02
   127   0.264164E+04   0.974906E+00   0.173016E-03  -0.322880E+02
   128   0.266710E+04   0.978281E+00   0.169721E-03  -0.326494E+02
   129   0.269265E+04   0.981119E+00   0.166437E-03  -0.329968E+02
   130   0.271822E+04   0.983423E+00   0.163166E-03  -0.333294E+02
   131   0.274381E+04   0.985342E+00   0.159913E-03  -0.336488E+02
   132   0.276950E+04   0.986732E+00   0.156680E-03  -0.339521E+02
   133   0.279513E+04   0.987670E+00   0.153470E-03  -0.342416E+02
   134   0.282077E+04   0.988159E+00   0.150283E-03  -0.345130E+02
   135   0.284644E+04   0.988130E+00   0.147122E-03  -0.347693E+02
   136   0.287198E+04   0.987584E+00   0.143990E-03  -0.350069E+02
   137   0.289753E+04   0.986601E+00   0.140889E-03  -0.352282E+02
   138   0.292303E+04   0.985109E+00   0.137819E-03  -0.354318E+02
   139   0.294833E+04   0.983261E+00   0.134785E-03  -0.356169E+02
   140   0.297371E+04   0.980837E+00   0.131787E-03  -0.357846E+02
   141   0.299889E+04   0.977915E+00   0.128827E-03  -0.359325E+02
   142   0.302409E+04   0.974572E+00   0.125909E-03  -0.360617E+02
   143   0.304923E+04   0.970813E+00   0.123033E-03  -0.361722E+02
   144   0.307416E+04   0.966567E+00   0.120203E-03  -0.362632E+02
   145   0.309896E+04   0.961984E+00   0.117419E-03  -0.363343E+02
   146   0.312386E+04   0.956848E+00   0.114685E-03  -0.363855E+02
   147   0.314839E+04   0.951383E+00   0.112002E-03  -0.364154E+02
   148   0.317279E+04   0.945444E+00   0.109373E-03  -0.364256E+02
   149   0.319713E+04   0.939110E+00   0.106798E-03  -0.364147E+02
   150   0.322119E+04   0.932458E+00   0.104282E-03  -0.363806E+02
   151   0.324512E+04   0.925417E+00   0.101824E-03  -0.363263E+02
   152   0.326876E+04   0.917917E+00   0.994267E-04  -0.362505E+02
   153   0.329227E+04   0.910108E+00   0.970889E-04  -0.361510E+02
   154   0.331557E+04   0.901993E+00   0.948110E-04  -0.360300E+02
   155   0.333867E+04   0.893576E+00   0.925932E-04  -0.358870E+02
   156   0.336140E+04   0.884859E+00   0.904355E-04  -0.357220E+02
   157   0.338408E+04   0.875846E+00   0.883381E-04  -0.355335E+02
   158   0.340648E+04   0.866613E+00   0.863010E-04  -0.353224E+02
   159   0.342860E+04   0.857015E+00   0.843243E-04  -0.350888E+02
   160   0.345050E+04   0.847203E+00   0.824082E-04  -0.348312E+02
   161   0.347221E+04   0.837254E+00   0.805528E-04  -0.345512E+02
   162   0.349363E+04   0.827024E+00   0.787581E-04  -0.342489E+02
   163   0.351492E+04   0.816588E+00   0.770244E-04  -0.339228E+02
   164   0.353578E+04   0.806025E+00   0.753516E-04  -0.335745E+02
   165   0.355651E+04   0.795263E+00   0.737398E-04  -0.332019E+02
   166   0.357696E+04   0.784453E+00   0.721893E-04  -0.328065E+02
