#    L    TT             EE             BB             TE          
    91   0.179746E+04   0.612239E+00   0.190356E-02  -0.140890E+02
    92   0.181805E+04   0.626373E+00   0.193847E-02  -0.146271E+02
    93   0.183893E+04   0.640435E+00   0.197370E-02  -0.151689E+02
    94   0.185986E+04   0.654390E+00   0.200926E-02  -0.157130E+02
    95   0.188109E+04   0.668236E+00   0.204514E-02  -0.162602E+02
    96   0.190229E+04   0.681959E+00   0.208136E-02  -0.168099E+02
    97   0.192393E+04   0.695546E+00   0.211793E-02  -0.173613E+02
    98   0.194578E+04   0.708988E+00   0.215485E-02  -0.179122E+02
    99   0.196769E+04   0.722250E+00   0.219212E-02  -0.184657E+02
   100   0.198988E+04   0.735331E+00   0.222976E-02  -0.190173E+02
   101   0.201221E+04   0.748291E+00   0.226778E-02  -0.195701E+02
   102   0.203504E+04   0.760982E+00   0.230618E-02  -0.201218E+02
   103   0.205778E+04   0.773478E+00   0.234496E-02  -0.206733E+02
   104   0.208073E+04   0.785781E+00   0.238414E-02  -0.212217E+02
   105   0.210382E+04   0.797816E+00   0.242372E-02  -0.217684E+02
   106   0.212711E+04   0.809657E+00   0.246371E-02  -0.223128E+02
   107   0.215031E+04   0.821157E+00   0.250412E-02  -0.228533E+02
   108   0.217387E+04   0.832390E+00   0.254495E-02  -0.233910E+02
   109   0.219755E+04   0.843282E+00   0.258622E-02  -0.239241E+02
   110   0.222130E+04   0.853834E+00   0.262792E-02  -0.244514E+02
   111   0.224518E+04   0.864121E+00   0.267007E-02  -0.249744E+02
   112   0.226920E+04   0.874069E+00   0.271267E-02  -0.254923E+02
   113   0.229342E+04   0.883681E+00   0.275574E-02  -0.260037E+02
   114   0.231771E+04   0.892883E+00   0.279928E-02  -0.265079E+02
   115   0.234221E+04   0.901826E+00   0.284330E-02  -0.270050E+02
   116   0.236670E+04   0.910288E+00   0.288781E-02  -0.274941E+02
   117   0.239148E+04   0.918345E+00   0.293281E-02  -0.279747E+02
   118   0.241641E+04   0.926149E+00   0.297833E-02  -0.284475E+02
   119   0.244134E+04   0.933550E+00   0.302435E-02  -0.289103E+02
   120   0.246641E+04   0.940404E+00   0.307091E-02  -0.293631E+02
   121   0.249148E+04   0.947007E+00   0.311799E-02  -0.298060E+02
   122   0.251663E+04   0.953066E+00   0.316562E-02  -0.302383E+02
   123   0.254186E+04   0.958656E+00   0.321381E-02  -0.306600E+02
   124   0.256718E+04   0.963852E+00   0.326255E-02  -0.310681E+02
   125   0.259249E+04   0.968582E+00   0.331188E-02  -0.314650E+02
   126   0.261790E+04   0.972922E+00   0.336179E-02  -0.318500E+02
   127   0.264331E+04   0.976725E+00   0.341229E-02  -0.322222E+02
   128   0.266873E+04   0.980141E+00   0.346340E-02  -0.325811E+02
   129   0.269425E+04   0.983023E+00   0.351513E-02  -0.329259E+02
   130   0.271978E+04   0.985374E+00   0.356749E-02  -0.332559E+02
   131   0.274533E+04   0.987343E+00   0.362049E-02  -0.335727E+02
   132   0.277097E+04   0.988785E+00   0.367414E-02  -0.338733E+02
   133   0.279656E+04   0.989778E+00   0.372845E-02  -0.341601E+02
   134   0.282216E+04   0.990325E+00   0.378343E-02  -0.344288E+02
   135   0.284778E+04   0.990357E+00   0.383910E-02  -0.346823E+02
   136   0.287327E+04   0.989877E+00   0.389545E-02  -0.349172E+02
   137   0.289878E+04   0.988962E+00   0.395251E-02  -0.351357E+02
   138   0.292422E+04   0.987542E+00   0.401028E-02  -0.353365E+02
   139   0.294946E+04   0.985770E+00   0.406877E-02  -0.355189E+02
   140   0.297479E+04   0.983426E+00   0.412800E-02  -0.356837E+02
   141   0.299991E+04   0.980587E+00   0.418797E-02  -0.358289E+02
   142   0.302505E+04   0.977332E+00   0.424869E-02  -0.359552E+02
   143   0.305013E+04   0.973665E+00   0.431018E-02  -0.360628E+02
   144   0.307499E+04   0.969515E+00   0.437244E-02  -0.361511E+02
   145   0.309973E+04   0.965034E+00   0.443549E-02  -0.362194E+02
   146   0.312455E+04   0.960003E+00   0.449933E-02  -0.362678E+02
   147   0.314902E+04   0.954648E+00   0.456397E-02  -0.362949E+02
   148   0.317334E+04   0.948824E+00   0.462942E-02  -0.363023E+02
   149   0.319761E+04   0.942610E+00   0.469570E-02  -0.362887E+02
   150   0.322160E+04   0.936083E+00   0.476280E-02  -0.362518E+02
   151   0.324544E+04   0.929172E+00   0.483074E-02  -0.361949E+02
   152   0.326900E+04   0.921807E+00   0.489953E-02  -0.361164E+02
   153   0.329243E+04   0.914139E+00   0.496916E-02  -0.360142E+02
   154   0.331565E+04   0.906170E+00   0.503964E-02  -0.358907E+02
   155   0.333865E+04   0.897905E+00   0.511099E-02  -0.357451E+02
   156   0.336130E+04   0.889345E+00   0.518319E-02  -0.355776E+02
   157   0.338389E+04   0.880494E+00   0.525626E-02  -0.353866E+02
   158   0.340619E+04   0.871430E+00   0.533019E-02  -0.351731E+02
   159   0.342822E+04   0.862006E+00   0.540499E-02  -0.349372E+02
   160   0.345003E+04   0.852375E+00   0.548067E-02  -0.346773E+02
   161   0.347163E+04   0.842612E+00   0.555721E-02  -0.343951E+02
   162   0.349295E+04   0.832574E+00   0.563463E-02  -0.340906E+02
   163   0.351414E+04   0.822337E+00   0.571292E-02  -0.337624E+02
   164   0.353490E+04   0.811978E+00   0.579209E-02  -0.334121E+02
   165   0.355552E+04   0.801427E+00   0.587212E-02  -0.330376E+02
   166   0.357586E+04   0.790834E+00   0.595302E-02  -0.326404E+02
   167   0.359599E+04   0.779979E+00   0.603479E-02  -0.322212E+02
   168   0.361570E+04   0.769238E+00   0.611741E-02  -0.317781E+02
   169   0.363512E+04   0.758316E+00   0.620090E-02  -0.313109E+02
   170   0.365426E+04   0.747438E+00   0.628524E-02  -0.308214E+02
   171   0.367298E+04   0.736608E+00   0.637043E-02  -0.303073E+02
   172   0.369133E+04   0.725754E+00   0.645647E-02  -0.297702E+02
   173   0.370926E+04   0.714879E+00   0.654334E-02  -0.292102E+02
   174   0.372691E+04   0.704283E+00   0.663105E-02  -0.286273E+02
   175   0.374421E+04   0.693673E+00   0.671958E-02  -0.280209E+02
   176   0.376100E+04   0.683273E+00   0.680893E-02  -0.273911E+02
   177   0.377744E+04   0.673011E+00   0.689909E-02  -0.267394E+02
   178   0.379346E+04   0.663112E+00   0.699004E-02  -0.260646E+02
   179   0.380906E+04   0.653281E+00   0.708178E-02  -0.253667E+02
   180   0.382438E+04   0.643742E+00   0.717430E-02  -0.246474E+02
   181   0.383922E+04   0.634498E+00   0.726759E-02  -0.239067E+02
   182   0.385363E+04   0.625624E+00   0.736162E-02  -0.231433E+02
   183   0.386756E+04   0.617048E+00   0.745640E-02  -0.223588E+02
   184   0.388115E+04   0.608846E+00   0.755192E-02  -0.215527E+02
   185   0.389434E+04   0.601169E+00   0.764814E-02  -0.207272E+02
   186   0.390674E+04   0.593877E+00   0.774508E-02  -0.198795E+02
   187   0.391903E+04   0.587113E+00   0.784270E-02  -0.190112E+02
   188   0.393085E+04   0.580864E+00   0.794101E-02  -0.181240E+02
   189   0.394212E+04   0.575169E+00   0.803999E-02  -0.172164E+02
   190   0.395328E+04   0.570082E+00   0.813961E-02  -0.162908E+02
   191   0.396360E+04   0.565627E+00   0.823988E-02  -0.153444E+02
   192   0.397360E+04   0.561827E+00   0.834078E-02  -0.143796E+02
   193   0.398306E+04   0.558730E+00   0.844229E-02  -0.133978E+02
   194   0.399220E+04   0.556366E+00   0.854440E-02  -0.123971E+02
   195   0.400080E+04   0.554775E+00   0.864710E-02  -0.113798E+02
   196   0.400887E+04   0.553995E+00   0.875037E-02  -0.103452E+02
   197   0.401655E+04   0.554073E+00   0.885420E-02  -0.929500E+01
   198   0.402378E+04   0.555032E+00   0.895858E-02  -0.822855E+01
   199   0.403055E+04   0.556912E+00   0.906350E-02  -0.714672E+01
   200   0.403686E+04   0.559744E+00   0.916893E-02  -0.605037E+01
   201   0.404265E+04   0.563586E+00   0.927487E-02  -0.493886E+01
   202   0.404799E+04   0.568439E+00   0.938130E-02  -0.381370E+01
   203   0.405281E+04   0.574350E+00   0.948821E-02  -0.267413E+01
   204   0.405704E+04   0.581332E+00   0.959559E-02  -0.152314E+01
   205   0.406082E+04   0.589420E+00   0.970342E-02  -0.358481E+00
   206   0.406401E+04   0.598639E+00   0.981170E-02   0.818580E+00
   207   0.406676E+04   0.609001E+00   0.992040E-02   0.200760E+01
   208   0.406886E+04   0.620549E+00   0.100295E-01   0.320807E+01
   209   0.407044E+04   0.633294E+00   0.101390E-01   0.441962E+01
   210   0.407151E+04   0.647278E+00   0.102490E-01   0.564135E+01
   211   0.407208E+04   0.662519E+00   0.103592E-01   0.687322E+01
   212   0.407200E+04   0.679038E+00   0.104699E-01   0.811429E+01
   213   0.407149E+04   0.696868E+00   0.105809E-01   0.936462E+01
   214   0.407041E+04   0.715991E+00   0.106922E-01   0.106230E+02
   215   0.406883E+04   0.736589E+00   0.108039E-01   0.118887E+02
   216   0.406668E+04   0.758468E+00   0.109158E-01   0.131622E+02
   217   0.406411E+04   0.781771E+00   0.110280E-01   0.144416E+02
   218   0.406098E+04   0.806489E+00   0.111406E-01   0.157270E+02
   219   0.405736E+04   0.832612E+00   0.112533E-01   0.170195E+02
   220   0.405325E+04   0.860276E+00   0.113663E-01   0.183145E+02
   221   0.404865E+04   0.889398E+00   0.114796E-01   0.196144E+02
   222   0.404357E+04   0.920114E+00   0.115930E-01   0.209177E+02
   223   0.403786E+04   0.952342E+00   0.117067E-01   0.222250E+02
   224   0.403182E+04   0.986068E+00   0.118205E-01   0.235327E+02
   225   0.402523E+04   0.102143E+01   0.119345E-01   0.248437E+02
   226   0.401816E+04   0.105843E+01   0.120486E-01   0.261544E+02
   227   0.401055E+04   0.109703E+01   0.121628E-01   0.274663E+02
   228   0.400254E+04   0.113725E+01   0.122772E-01   0.287778E+02
   229   0.399406E+04   0.117913E+01   0.123916E-01   0.300875E+02
   230   0.398504E+04   0.122268E+01   0.125061E-01   0.313961E+02
   231   0.397548E+04   0.126794E+01   0.126206E-01   0.327030E+02
   232   0.396553E+04   0.131485E+01   0.127352E-01   0.340065E+02
   233   0.395512E+04   0.136360E+01   0.128498E-01   0.353054E+02
   234   0.394410E+04   0.141405E+01   0.129643E-01   0.366002E+02
   235   0.393270E+04   0.146624E+01   0.130789E-01   0.378895E+02
   236   0.392077E+04   0.152019E+01   0.131934E-01   0.391734E+02
   237   0.390839E+04   0.157594E+01   0.133078E-01   0.404503E+02
