#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
  1613   0.394688E+03  -0.300477E+02   0.446253E-06  -0.300477E+02   0.984223E+01   0.792039E-07   0.446253E-06   0.792039E-07   0.671378E-09
  1614   0.394897E+03  -0.297840E+02   0.445707E-06  -0.297840E+02   0.972492E+01   0.778572E-07   0.445707E-06   0.778572E-07   0.670283E-09
  1615   0.395085E+03  -0.295140E+02   0.445217E-06  -0.295140E+02   0.960890E+01   0.765086E-07   0.445217E-06   0.765086E-07   0.669190E-09
  1616   0.395244E+03  -0.292380E+02   0.444782E-06  -0.292380E+02   0.949416E+01   0.751580E-07   0.444782E-06   0.751580E-07   0.668100E-09
  1617   0.395389E+03  -0.289564E+02   0.444402E-06  -0.289564E+02   0.938146E+01   0.738058E-07   0.444402E-06   0.738058E-07   0.667012E-09
  1618   0.395514E+03  -0.286695E+02   0.444078E-06  -0.286695E+02   0.927007E+01   0.724520E-07   0.444078E-06   0.724520E-07   0.665927E-09
  1619   0.395603E+03  -0.283777E+02   0.443808E-06  -0.283777E+02   0.916000E+01   0.710967E-07   0.443808E-06   0.710967E-07   0.664843E-09
  1620   0.395693E+03  -0.280806E+02   0.443592E-06  -0.280806E+02   0.905200E+01   0.697401E-07   0.443592E-06   0.697401E-07   0.663763E-09
  1621   0.395756E+03  -0.277785E+02   0.443429E-06  -0.277785E+02   0.894460E+01   0.683822E-07   0.443429E-06   0.683822E-07   0.662684E-09
  1622   0.395799E+03  -0.274719E+02   0.443321E-06  -0.274719E+02   0.884003E+01   0.670232E-07   0.443321E-06   0.670232E-07   0.661608E-09
  1623   0.395815E+03  -0.271610E+02   0.443266E-06  -0.271610E+02   0.873681E+01   0.656633E-07   0.443266E-06   0.656633E-07   0.660534E-09
  1624   0.395818E+03  -0.268448E+02   0.443263E-06  -0.268448E+02   0.863571E+01   0.643024E-07   0.443263E-06   0.643024E-07   0.659463E-09
  1625   0.395801E+03  -0.265251E+02   0.443314E-06  -0.265251E+02   0.853524E+01   0.629408E-07   0.443314E-06   0.629408E-07   0.658393E-09
  1626   0.395758E+03  -0.262015E+02   0.443416E-06  -0.262015E+02   0.843765E+01   0.615786E-07   0.443416E-06   0.615786E-07   0.657326E-09
  1627   0.395688E+03  -0.258736E+02   0.443571E-06  -0.258736E+02   0.834071E+01   0.602159E-07   0.443571E-06   0.602159E-07   0.656262E-09
  1628   0.395600E+03  -0.255425E+02   0.443777E-06  -0.255425E+02   0.824666E+01   0.588528E-07   0.443777E-06   0.588528E-07   0.655200E-09
  1629   0.395492E+03  -0.252071E+02   0.444035E-06  -0.252071E+02   0.815404E+01   0.574895E-07   0.444035E-06   0.574895E-07   0.654140E-09
  1630   0.395366E+03  -0.248692E+02   0.444343E-06  -0.248692E+02   0.806358E+01   0.561260E-07   0.444343E-06   0.561260E-07   0.653082E-09
  1631   0.395199E+03  -0.245277E+02   0.444702E-06  -0.245277E+02   0.797456E+01   0.547625E-07   0.444702E-06   0.547625E-07   0.652027E-09
  1632   0.395029E+03  -0.241838E+02   0.445112E-06  -0.241838E+02   0.788698E+01   0.533990E-07   0.445112E-06   0.533990E-07   0.650973E-09
  1633   0.394833E+03  -0.238369E+02   0.445572E-06  -0.238369E+02   0.780235E+01   0.520359E-07   0.445572E-06   0.520359E-07   0.649923E-09
  1634   0.394627E+03  -0.234875E+02   0.446082E-06  -0.234875E+02   0.771919E+01   0.506730E-07   0.446082E-06   0.506730E-07   0.648874E-09
  1635   0.394381E+03  -0.231360E+02   0.446641E-06  -0.231360E+02   0.763899E+01   0.493106E-07   0.446641E-06   0.493106E-07   0.647828E-09
  1636   0.394118E+03  -0.227819E+02   0.447249E-06  -0.227819E+02   0.755879E+01   0.479488E-07   0.447249E-06   0.479488E-07   0.646784E-09
  1637   0.393830E+03  -0.224271E+02   0.447906E-06  -0.224271E+02   0.748232E+01   0.465877E-07   0.447906E-06   0.465877E-07   0.645742E-09
  1638   0.393510E+03  -0.220697E+02   0.448611E-06  -0.220697E+02   0.740809E+01   0.452274E-07   0.448611E-06   0.452274E-07   0.644702E-09
  1639   0.393180E+03  -0.217108E+02   0.449365E-06  -0.217108E+02   0.733539E+01   0.438681E-07   0.449365E-06   0.438681E-07   0.643665E-09
  1640   0.392819E+03  -0.213515E+02   0.450166E-06  -0.213515E+02   0.726495E+01   0.425099E-07   0.450166E-06   0.425099E-07   0.642630E-09
  1641   0.392427E+03  -0.209908E+02   0.451015E-06  -0.209908E+02   0.719679E+01   0.411528E-07   0.451015E-06   0.411528E-07   0.641597E-09
  1642   0.392019E+03  -0.206281E+02   0.451911E-06  -0.206281E+02   0.713093E+01   0.397971E-07   0.451911E-06   0.397971E-07   0.640566E-09
  1643   0.391579E+03  -0.202661E+02   0.452854E-06  -0.202661E+02   0.706884E+01   0.384427E-07   0.452854E-06   0.384427E-07   0.639538E-09
  1644   0.391108E+03  -0.199052E+02   0.453844E-06  -0.199052E+02   0.700684E+01   0.370900E-07   0.453844E-06   0.370900E-07   0.638511E-09
  1645   0.390615E+03  -0.195427E+02   0.454880E-06  -0.195427E+02   0.694790E+01   0.357389E-07   0.454880E-06   0.357389E-07   0.637487E-09
  1646   0.390091E+03  -0.191804E+02   0.455962E-06  -0.191804E+02   0.689204E+01   0.343896E-07   0.455962E-06   0.343896E-07   0.636465E-09
  1647   0.389552E+03  -0.188173E+02   0.457089E-06  -0.188173E+02   0.683851E+01   0.330422E-07   0.457089E-06   0.330422E-07   0.635446E-09
  1648   0.388982E+03  -0.184567E+02   0.458262E-06  -0.184567E+02   0.678733E+01   0.316968E-07   0.458262E-06   0.316968E-07   0.634428E-09
  1649   0.388383E+03  -0.180967E+02   0.459480E-06  -0.180967E+02   0.673926E+01   0.303537E-07   0.459480E-06   0.303537E-07   0.633413E-09
  1650   0.387754E+03  -0.177369E+02   0.460742E-06  -0.177369E+02   0.669281E+01   0.290128E-07   0.460742E-06   0.290128E-07   0.632400E-09
  1651   0.387096E+03  -0.173799E+02   0.462049E-06  -0.173799E+02   0.665021E+01   0.276742E-07   0.462049E-06   0.276742E-07   0.631389E-09
  1652   0.386417E+03  -0.170229E+02   0.463400E-06  -0.170229E+02   0.660843E+01   0.263383E-07   0.463400E-06   0.263383E-07   0.630380E-09
  1653   0.385703E+03  -0.166667E+02   0.464794E-06  -0.166667E+02   0.657037E+01   0.250050E-07   0.464794E-06   0.250050E-07   0.629373E-09
  1654   0.384963E+03  -0.163145E+02   0.466230E-06  -0.163145E+02   0.653595E+01   0.236745E-07   0.466230E-06   0.236745E-07   0.628369E-09
  1655   0.384206E+03  -0.159612E+02   0.467708E-06  -0.159612E+02   0.650360E+01   0.223470E-07   0.467708E-06   0.223470E-07   0.627366E-09
  1656   0.383416E+03  -0.156107E+02   0.469227E-06  -0.156107E+02   0.647327E+01   0.210227E-07   0.469227E-06   0.210227E-07   0.626366E-09
  1657   0.382589E+03  -0.152616E+02   0.470787E-06  -0.152616E+02   0.644561E+01   0.197015E-07   0.470787E-06   0.197015E-07   0.625368E-09
  1658   0.381755E+03  -0.149148E+02   0.472387E-06  -0.149148E+02   0.641980E+01   0.183838E-07   0.472387E-06   0.183838E-07   0.624372E-09
  1659   0.380892E+03  -0.145690E+02   0.474027E-06  -0.145690E+02   0.639652E+01   0.170695E-07   0.474027E-06   0.170695E-07   0.623378E-09
  1660   0.379995E+03  -0.142251E+02   0.475705E-06  -0.142251E+02   0.637644E+01   0.157590E-07   0.475705E-06   0.157590E-07   0.622386E-09
  1661   0.379086E+03  -0.138840E+02   0.477421E-06  -0.138840E+02   0.635799E+01   0.144522E-07   0.477421E-06   0.144522E-07   0.621396E-09
  1662   0.378144E+03  -0.135450E+02   0.479175E-06  -0.135450E+02   0.634258E+01   0.131494E-07   0.479175E-06   0.131494E-07   0.620409E-09
  1663   0.377186E+03  -0.132068E+02   0.480966E-06  -0.132068E+02   0.632940E+01   0.118507E-07   0.480966E-06   0.118507E-07   0.619423E-09
  1664   0.376198E+03  -0.128711E+02   0.482793E-06  -0.128711E+02   0.631763E+01   0.105562E-07   0.482793E-06   0.105562E-07   0.618440E-09
  1665   0.375195E+03  -0.125379E+02   0.484656E-06  -0.125379E+02   0.630868E+01   0.926606E-08   0.484656E-06   0.926606E-08   0.617459E-09
  1666   0.374171E+03  -0.122082E+02   0.486554E-06  -0.122082E+02   0.630173E+01   0.798045E-08   0.486554E-06   0.798045E-08   0.616480E-09
  1667   0.373120E+03  -0.118792E+02   0.488487E-06  -0.118792E+02   0.629746E+01   0.669950E-08   0.488487E-06   0.669950E-08   0.615502E-09
  1668   0.372058E+03  -0.115539E+02   0.490453E-06  -0.115539E+02   0.629504E+01   0.542334E-08   0.490453E-06   0.542334E-08   0.614527E-09
  1669   0.370971E+03  -0.112303E+02   0.492452E-06  -0.112303E+02   0.629514E+01   0.415211E-08   0.492452E-06   0.415211E-08   0.613554E-09
  1670   0.369859E+03  -0.109092E+02   0.494485E-06  -0.109092E+02   0.629694E+01   0.288597E-08   0.494485E-06   0.288597E-08   0.612583E-09
  1671   0.368739E+03  -0.105924E+02   0.496549E-06  -0.105924E+02   0.630038E+01   0.162503E-08   0.496549E-06   0.162503E-08   0.611615E-09
  1672   0.367598E+03  -0.102776E+02   0.498644E-06  -0.102776E+02   0.630611E+01   0.369455E-09   0.498644E-06   0.369455E-09   0.610648E-09
  1673   0.366428E+03  -0.996585E+01   0.500770E-06  -0.996585E+01   0.631333E+01  -0.880624E-09   0.500770E-06  -0.880624E-09   0.609683E-09
  1674   0.365254E+03  -0.965723E+01   0.502927E-06  -0.965723E+01   0.632418E+01  -0.212506E-08   0.502927E-06  -0.212506E-08   0.608720E-09
  1675   0.364045E+03  -0.935188E+01   0.505113E-06  -0.935188E+01   0.633562E+01  -0.336373E-08   0.505113E-06  -0.336373E-08   0.607759E-09
  1676   0.362834E+03  -0.904996E+01   0.507327E-06  -0.904996E+01   0.634831E+01  -0.459647E-08   0.507327E-06  -0.459647E-08   0.606801E-09
  1677   0.361607E+03  -0.875160E+01   0.509571E-06  -0.875160E+01   0.636442E+01  -0.582315E-08   0.509571E-06  -0.582315E-08   0.605844E-09
  1678   0.360349E+03  -0.845696E+01   0.511841E-06  -0.845696E+01   0.638090E+01  -0.704363E-08   0.511841E-06  -0.704363E-08   0.604889E-09
  1679   0.359084E+03  -0.816617E+01   0.514139E-06  -0.816617E+01   0.640063E+01  -0.825776E-08   0.514139E-06  -0.825776E-08   0.603937E-09
  1680   0.357806E+03  -0.787863E+01   0.516463E-06  -0.787863E+01   0.642133E+01  -0.946542E-08   0.516463E-06  -0.946542E-08   0.602986E-09
  1681   0.356515E+03  -0.759523E+01   0.518813E-06  -0.759523E+01   0.644291E+01  -0.106664E-07   0.518813E-06  -0.106664E-07   0.602038E-09
  1682   0.355198E+03  -0.731761E+01   0.521188E-06  -0.731761E+01   0.646752E+01  -0.118607E-07   0.521188E-06  -0.118607E-07   0.601091E-09
  1683   0.353879E+03  -0.704293E+01   0.523588E-06  -0.704293E+01   0.649436E+01  -0.130481E-07   0.523588E-06  -0.130481E-07   0.600146E-09
  1684   0.352543E+03  -0.677356E+01   0.526012E-06  -0.677356E+01   0.652186E+01  -0.142284E-07   0.526012E-06  -0.142284E-07   0.599204E-09
  1685   0.351199E+03  -0.650891E+01   0.528459E-06  -0.650891E+01   0.655143E+01  -0.154015E-07   0.528459E-06  -0.154015E-07   0.598263E-09
  1686   0.349841E+03  -0.624763E+01   0.530929E-06  -0.624763E+01   0.658300E+01  -0.165673E-07   0.530929E-06  -0.165673E-07   0.597324E-09
  1687   0.348461E+03  -0.599210E+01   0.533420E-06  -0.599210E+01   0.661500E+01  -0.177256E-07   0.533420E-06  -0.177256E-07   0.596387E-09
  1688   0.347085E+03  -0.574246E+01   0.535934E-06  -0.574246E+01   0.664960E+01  -0.188764E-07   0.535934E-06  -0.188764E-07   0.595453E-09
  1689   0.345682E+03  -0.549662E+01   0.538468E-06  -0.549662E+01   0.668597E+01  -0.200193E-07   0.538468E-06  -0.200193E-07   0.594520E-09
  1690   0.344270E+03  -0.525696E+01   0.541022E-06  -0.525696E+01   0.672329E+01  -0.211544E-07   0.541022E-06  -0.211544E-07   0.593589E-09
  1691   0.342855E+03  -0.502362E+01   0.543596E-06  -0.502362E+01   0.676298E+01  -0.222815E-07   0.543596E-06  -0.222815E-07   0.592660E-09
  1692   0.341433E+03  -0.479526E+01   0.546189E-06  -0.479526E+01   0.680274E+01  -0.234003E-07   0.546189E-06  -0.234003E-07   0.591733E-09
  1693   0.339996E+03  -0.457276E+01   0.548801E-06  -0.457276E+01   0.684471E+01  -0.245109E-07   0.548801E-06  -0.245109E-07   0.590808E-09
  1694   0.338546E+03  -0.435776E+01   0.551430E-06  -0.435776E+01   0.688883E+01  -0.256130E-07   0.551430E-06  -0.256130E-07   0.589885E-09
  1695   0.337099E+03  -0.414743E+01   0.554076E-06  -0.414743E+01   0.693279E+01  -0.267065E-07   0.554076E-06  -0.267065E-07   0.588964E-09
  1696   0.335640E+03  -0.394488E+01   0.556739E-06  -0.394488E+01   0.697948E+01  -0.277913E-07   0.556739E-06  -0.277913E-07   0.588044E-09
  1697   0.334164E+03  -0.374876E+01   0.559418E-06  -0.374876E+01   0.702661E+01  -0.288672E-07   0.559418E-06  -0.288672E-07   0.587127E-09
  1698   0.332694E+03  -0.355998E+01   0.562112E-06  -0.355998E+01   0.707558E+01  -0.299341E-07   0.562112E-06  -0.299341E-07   0.586211E-09
  1699   0.331216E+03  -0.337718E+01   0.564820E-06  -0.337718E+01   0.712558E+01  -0.309918E-07   0.564820E-06  -0.309918E-07   0.585298E-09
  1700   0.329731E+03  -0.320273E+01   0.567543E-06  -0.320273E+01   0.717579E+01  -0.320402E-07   0.567543E-06  -0.320402E-07   0.584386E-09
  1701   0.328232E+03  -0.303525E+01   0.570279E-06  -0.303525E+01   0.722911E+01  -0.330792E-07   0.570279E-06  -0.330792E-07   0.583476E-09
  1702   0.326744E+03  -0.287537E+01   0.573028E-06  -0.287537E+01   0.728248E+01  -0.341087E-07   0.573028E-06  -0.341087E-07   0.582569E-09
  1703   0.325244E+03  -0.272366E+01   0.575790E-06  -0.272366E+01   0.733807E+01  -0.351287E-07   0.575790E-06  -0.351287E-07   0.581663E-09
  1704   0.323740E+03  -0.257849E+01   0.578563E-06  -0.257849E+01   0.739355E+01  -0.361390E-07   0.578563E-06  -0.361390E-07   0.580758E-09
  1705   0.322234E+03  -0.244044E+01   0.581348E-06  -0.244044E+01   0.745109E+01  -0.371398E-07   0.581348E-06  -0.371398E-07   0.579856E-09
  1706   0.320718E+03  -0.230934E+01   0.584144E-06  -0.230934E+01   0.750764E+01  -0.381308E-07   0.584144E-06  -0.381308E-07   0.578956E-09
  1707   0.319209E+03  -0.218653E+01   0.586949E-06  -0.218653E+01   0.756609E+01  -0.391120E-07   0.586949E-06  -0.391120E-07   0.578057E-09
  1708   0.317692E+03  -0.206961E+01   0.589765E-06  -0.206961E+01   0.762635E+01  -0.400835E-07   0.589765E-06  -0.400835E-07   0.577161E-09
  1709   0.316175E+03  -0.195991E+01   0.592590E-06  -0.195991E+01   0.768762E+01  -0.410451E-07   0.592590E-06  -0.410451E-07   0.576266E-09
  1710   0.314653E+03  -0.185653E+01   0.595423E-06  -0.185653E+01   0.775055E+01  -0.419968E-07   0.595423E-06  -0.419968E-07   0.575373E-09
  1711   0.313125E+03  -0.175930E+01   0.598265E-06  -0.175930E+01   0.781433E+01  -0.429385E-07   0.598265E-06  -0.429385E-07   0.574482E-09
  1712   0.311607E+03  -0.166956E+01   0.601114E-06  -0.166956E+01   0.787740E+01  -0.438702E-07   0.601114E-06  -0.438702E-07   0.573592E-09
  1713   0.310078E+03  -0.158640E+01   0.603971E-06  -0.158640E+01   0.794190E+01  -0.447918E-07   0.603971E-06  -0.447918E-07   0.572705E-09
  1714   0.308546E+03  -0.150891E+01   0.606834E-06  -0.150891E+01   0.800775E+01  -0.457033E-07   0.606834E-06  -0.457033E-07   0.571819E-09
  1715   0.307012E+03  -0.143917E+01   0.609703E-06  -0.143917E+01   0.807340E+01  -0.466046E-07   0.609703E-06  -0.466046E-07   0.570936E-09
  1716   0.305491E+03  -0.137478E+01   0.612578E-06  -0.137478E+01   0.814025E+01  -0.474958E-07   0.612578E-06  -0.474958E-07   0.570054E-09
  1717   0.303963E+03  -0.131708E+01   0.615458E-06  -0.131708E+01   0.820748E+01  -0.483766E-07   0.615458E-06  -0.483766E-07   0.569174E-09
  1718   0.302427E+03  -0.126590E+01   0.618342E-06  -0.126590E+01   0.827576E+01  -0.492471E-07   0.618342E-06  -0.492471E-07   0.568295E-09
  1719   0.300899E+03  -0.122034E+01   0.621230E-06  -0.122034E+01   0.834426E+01  -0.501072E-07   0.621230E-06  -0.501072E-07   0.567419E-09
  1720   0.299381E+03  -0.118172E+01   0.624122E-06  -0.118172E+01   0.841365E+01  -0.509569E-07   0.624122E-06  -0.509569E-07   0.566544E-09
  1721   0.297858E+03  -0.114840E+01   0.627017E-06  -0.114840E+01   0.848386E+01  -0.517960E-07   0.627017E-06  -0.517960E-07   0.565671E-09
  1722   0.296345E+03  -0.112171E+01   0.629914E-06  -0.112171E+01   0.855332E+01  -0.526247E-07   0.629914E-06  -0.526247E-07   0.564800E-09
  1723   0.294830E+03  -0.110074E+01   0.632813E-06  -0.110074E+01   0.862344E+01  -0.534427E-07   0.632813E-06  -0.534427E-07   0.563931E-09
  1724   0.293311E+03  -0.108607E+01   0.635713E-06  -0.108607E+01   0.869489E+01  -0.542501E-07   0.635713E-06  -0.542501E-07   0.563063E-09
  1725   0.291799E+03  -0.107680E+01   0.638615E-06  -0.107680E+01   0.876535E+01  -0.550468E-07   0.638615E-06  -0.550468E-07   0.562197E-09
  1726   0.290293E+03  -0.107427E+01   0.641516E-06  -0.107427E+01   0.883698E+01  -0.558328E-07   0.641516E-06  -0.558328E-07   0.561333E-09
  1727   0.288794E+03  -0.107681E+01   0.644417E-06  -0.107681E+01   0.890822E+01  -0.566079E-07   0.644417E-06  -0.566079E-07   0.560471E-09
  1728   0.287296E+03  -0.108576E+01   0.647318E-06  -0.108576E+01   0.898122E+01  -0.573722E-07   0.647318E-06  -0.573722E-07   0.559610E-09
  1729   0.285814E+03  -0.110022E+01   0.650218E-06  -0.110022E+01   0.905367E+01  -0.581256E-07   0.650218E-06  -0.581256E-07   0.558752E-09
  1730   0.284319E+03  -0.111928E+01   0.653115E-06  -0.111928E+01   0.912549E+01  -0.588680E-07   0.653115E-06  -0.588680E-07   0.557895E-09
  1731   0.282843E+03  -0.114575E+01   0.656010E-06  -0.114575E+01   0.919735E+01  -0.595994E-07   0.656010E-06  -0.595994E-07   0.557039E-09
  1732   0.281370E+03  -0.117650E+01   0.658903E-06  -0.117650E+01   0.926917E+01  -0.603198E-07   0.658903E-06  -0.603198E-07   0.556186E-09
  1733   0.279909E+03  -0.121360E+01   0.661792E-06  -0.121360E+01   0.934162E+01  -0.610290E-07   0.661792E-06  -0.610290E-07   0.555334E-09
  1734   0.278454E+03  -0.125615E+01   0.664677E-06  -0.125615E+01   0.941313E+01  -0.617271E-07   0.664677E-06  -0.617271E-07   0.554484E-09
  1735   0.277005E+03  -0.130324E+01   0.667558E-06  -0.130324E+01   0.948512E+01  -0.624139E-07   0.667558E-06  -0.624139E-07   0.553636E-09
  1736   0.275570E+03  -0.135769E+01   0.670434E-06  -0.135769E+01   0.955601E+01  -0.630894E-07   0.670434E-06  -0.630894E-07   0.552789E-09
  1737   0.274143E+03  -0.141636E+01   0.673305E-06  -0.141636E+01   0.962797E+01  -0.637537E-07   0.673305E-06  -0.637537E-07   0.551945E-09
  1738   0.272724E+03  -0.148058E+01   0.676169E-06  -0.148058E+01   0.969867E+01  -0.644065E-07   0.676169E-06  -0.644065E-07   0.551102E-09
  1739   0.271330E+03  -0.155093E+01   0.679027E-06  -0.155093E+01   0.976954E+01  -0.650479E-07   0.679027E-06  -0.650479E-07   0.550260E-09
  1740   0.269931E+03  -0.162652E+01   0.681878E-06  -0.162652E+01   0.983976E+01  -0.656778E-07   0.681878E-06  -0.656778E-07   0.549420E-09
  1741   0.268565E+03  -0.170643E+01   0.684722E-06  -0.170643E+01   0.990923E+01  -0.662962E-07   0.684722E-06  -0.662962E-07   0.548582E-09
  1742   0.267196E+03  -0.179347E+01   0.687557E-06  -0.179347E+01   0.997864E+01  -0.669030E-07   0.687557E-06  -0.669030E-07   0.547746E-09
  1743   0.265847E+03  -0.188453E+01   0.690384E-06  -0.188453E+01   0.100472E+02  -0.674982E-07   0.690384E-06  -0.674982E-07   0.546912E-09
  1744   0.264511E+03  -0.198166E+01   0.693202E-06  -0.198166E+01   0.101154E+02  -0.680816E-07   0.693202E-06  -0.680816E-07   0.546079E-09
  1745   0.263189E+03  -0.208396E+01   0.696010E-06  -0.208396E+01   0.101819E+02  -0.686533E-07   0.696010E-06  -0.686533E-07   0.545247E-09
  1746   0.261882E+03  -0.219127E+01   0.698808E-06  -0.219127E+01   0.102488E+02  -0.692132E-07   0.698808E-06  -0.692132E-07   0.544418E-09
  1747   0.260598E+03  -0.230418E+01   0.701595E-06  -0.230418E+01   0.103152E+02  -0.697613E-07   0.701595E-06  -0.697613E-07   0.543590E-09
  1748   0.259323E+03  -0.242252E+01   0.704371E-06  -0.242252E+01   0.103811E+02  -0.702974E-07   0.704371E-06  -0.702974E-07   0.542764E-09
  1749   0.258066E+03  -0.254465E+01   0.707135E-06  -0.254465E+01   0.104449E+02  -0.708216E-07   0.707135E-06  -0.708216E-07   0.541939E-09
  1750   0.256826E+03  -0.267338E+01   0.709887E-06  -0.267338E+01   0.105079E+02  -0.713338E-07   0.709887E-06  -0.713338E-07   0.541116E-09
  1751   0.255605E+03  -0.280780E+01   0.712626E-06  -0.280780E+01   0.105695E+02  -0.718339E-07   0.712626E-06  -0.718339E-07   0.540295E-09
  1752   0.254411E+03  -0.294542E+01   0.715352E-06  -0.294542E+01   0.106296E+02  -0.723220E-07   0.715352E-06  -0.723220E-07   0.539476E-09
  1753   0.253234E+03  -0.308970E+01   0.718065E-06  -0.308970E+01   0.106881E+02  -0.727981E-07   0.718065E-06  -0.727981E-07   0.538658E-09
  1754   0.252076E+03  -0.323816E+01   0.720763E-06  -0.323816E+01   0.107466E+02  -0.732623E-07   0.720763E-06  -0.732623E-07   0.537841E-09
  1755   0.250937E+03  -0.339127E+01   0.723448E-06  -0.339127E+01   0.108048E+02  -0.737145E-07   0.723448E-06  -0.737145E-07   0.537027E-09
  1756   0.249822E+03  -0.354877E+01   0.726118E-06  -0.354877E+01   0.108609E+02  -0.741549E-07   0.726118E-06  -0.741549E-07   0.536214E-09
  1757   0.248719E+03  -0.371115E+01   0.728773E-06  -0.371115E+01   0.109160E+02  -0.745835E-07   0.728773E-06  -0.745835E-07   0.535402E-09
  1758   0.247625E+03  -0.387815E+01   0.731413E-06  -0.387815E+01   0.109700E+02  -0.750003E-07   0.731413E-06  -0.750003E-07   0.534593E-09
  1759   0.246565E+03  -0.404950E+01   0.734037E-06  -0.404950E+01   0.110230E+02  -0.754053E-07   0.734037E-06  -0.754053E-07   0.533785E-09
  1760   0.245514E+03  -0.422420E+01   0.736645E-06  -0.422420E+01   0.110750E+02  -0.757986E-07   0.736645E-06  -0.757986E-07   0.532978E-09
  1761   0.244480E+03  -0.440348E+01   0.739237E-06  -0.440348E+01   0.111260E+02  -0.761802E-07   0.739237E-06  -0.761802E-07   0.532173E-09
  1762   0.243464E+03  -0.458633E+01   0.741813E-06  -0.458633E+01   0.111757E+02  -0.765503E-07   0.741813E-06  -0.765503E-07   0.531370E-09
  1763   0.242472E+03  -0.477250E+01   0.744371E-06  -0.477250E+01   0.112246E+02  -0.769087E-07   0.744371E-06  -0.769087E-07   0.530568E-09
  1764   0.241505E+03  -0.496320E+01   0.746912E-06  -0.496320E+01   0.112725E+02  -0.772555E-07   0.746912E-06  -0.772555E-07   0.529768E-09
  1765   0.240539E+03  -0.515669E+01   0.749435E-06  -0.515669E+01   0.113191E+02  -0.775908E-07   0.749435E-06  -0.775908E-07   0.528970E-09
  1766   0.239598E+03  -0.535420E+01   0.751940E-06  -0.535420E+01   0.113646E+02  -0.779147E-07   0.751940E-06  -0.779147E-07   0.528173E-09
  1767   0.238673E+03  -0.555398E+01   0.754427E-06  -0.555398E+01   0.114089E+02  -0.782271E-07   0.754427E-06  -0.782271E-07   0.527377E-09
  1768   0.237764E+03  -0.575725E+01   0.756895E-06  -0.575725E+01   0.114522E+02  -0.785281E-07   0.756895E-06  -0.785281E-07   0.526584E-09
  1769   0.236879E+03  -0.596450E+01   0.759344E-06  -0.596450E+01   0.114943E+02  -0.788178E-07   0.759344E-06  -0.788178E-07   0.525792E-09
  1770   0.236002E+03  -0.617324E+01   0.761774E-06  -0.617324E+01   0.115352E+02  -0.790961E-07   0.761774E-06  -0.790961E-07   0.525001E-09
  1771   0.235149E+03  -0.638543E+01   0.764183E-06  -0.638543E+01   0.115749E+02  -0.793631E-07   0.764183E-06  -0.793631E-07   0.524212E-09
  1772   0.234319E+03  -0.660082E+01   0.766573E-06  -0.660082E+01   0.116135E+02  -0.796189E-07   0.766573E-06  -0.796189E-07   0.523425E-09
  1773   0.233490E+03  -0.681691E+01   0.768941E-06  -0.681691E+01   0.116507E+02  -0.798635E-07   0.768941E-06  -0.798635E-07   0.522639E-09
  1774   0.232691E+03  -0.703716E+01   0.771290E-06  -0.703716E+01   0.116869E+02  -0.800970E-07   0.771290E-06  -0.800970E-07   0.521854E-09
  1775   0.231907E+03  -0.725909E+01   0.773616E-06  -0.725909E+01   0.117218E+02  -0.803193E-07   0.773616E-06  -0.803193E-07   0.521072E-09
  1776   0.231146E+03  -0.748242E+01   0.775922E-06  -0.748242E+01   0.117553E+02  -0.805305E-07   0.775922E-06  -0.805305E-07   0.520291E-09
  1777   0.230385E+03  -0.770913E+01   0.778205E-06  -0.770913E+01   0.117878E+02  -0.807306E-07   0.778205E-06  -0.807306E-07   0.519511E-09
  1778   0.229653E+03  -0.793672E+01   0.780466E-06  -0.793672E+01   0.118188E+02  -0.809198E-07   0.780466E-06  -0.809198E-07   0.518733E-09
  1779   0.228937E+03  -0.816644E+01   0.782704E-06  -0.816644E+01   0.118486E+02  -0.810980E-07   0.782704E-06  -0.810980E-07   0.517956E-09
  1780   0.228242E+03  -0.839725E+01   0.784920E-06  -0.839725E+01   0.118771E+02  -0.812652E-07   0.784920E-06  -0.812652E-07   0.517181E-09
  1781   0.227569E+03  -0.862967E+01   0.787112E-06  -0.862967E+01   0.119041E+02  -0.814215E-07   0.787112E-06  -0.814215E-07   0.516408E-09
  1782   0.226896E+03  -0.886341E+01   0.789280E-06  -0.886341E+01   0.119299E+02  -0.815670E-07   0.789280E-06  -0.815670E-07   0.515636E-09
  1783   0.226251E+03  -0.909822E+01   0.791425E-06  -0.909822E+01   0.119542E+02  -0.817017E-07   0.791425E-06  -0.817017E-07   0.514865E-09
  1784   0.225636E+03  -0.933310E+01   0.793545E-06  -0.933310E+01   0.119771E+02  -0.818256E-07   0.793545E-06  -0.818256E-07   0.514097E-09
  1785   0.225026E+03  -0.957002E+01   0.795640E-06  -0.957002E+01   0.119986E+02  -0.819388E-07   0.795640E-06  -0.819388E-07   0.513329E-09
  1786   0.224438E+03  -0.980722E+01   0.797710E-06  -0.980722E+01   0.120187E+02  -0.820412E-07   0.797710E-06  -0.820412E-07   0.512563E-09
  1787   0.223871E+03  -0.100444E+02   0.799755E-06  -0.100444E+02   0.120373E+02  -0.821330E-07   0.799755E-06  -0.821330E-07   0.511799E-09
