#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    43   0.108987E+04   0.186801E+01   0.785405E-03   0.186801E+01   0.759833E-01  -0.118662E-05   0.785405E-03  -0.118662E-05   0.167300E-06
    44   0.110263E+04   0.178108E+01   0.769070E-03   0.178108E+01   0.819138E-01  -0.107370E-05   0.769070E-03  -0.107370E-05   0.166900E-06
    45   0.111565E+04   0.168273E+01   0.753167E-03   0.168273E+01   0.881539E-01  -0.976453E-06   0.753167E-03  -0.976453E-06   0.166462E-06
    46   0.112886E+04   0.157171E+01   0.737665E-03   0.157171E+01   0.947153E-01  -0.903360E-06   0.737665E-03  -0.903360E-06   0.165989E-06
    47   0.114212E+04   0.144945E+01   0.722579E-03   0.144945E+01   0.101587E+00  -0.858934E-06   0.722579E-03  -0.858934E-06   0.165483E-06
    48   0.115536E+04   0.132072E+01   0.707938E-03   0.132072E+01   0.108758E+00  -0.846684E-06   0.707938E-03  -0.846684E-06   0.164947E-06
    49   0.116867E+04   0.118969E+01   0.693767E-03   0.118969E+01   0.116197E+00  -0.870120E-06   0.693767E-03  -0.870120E-06   0.164381E-06
    50   0.118228E+04   0.105374E+01   0.680096E-03   0.105374E+01   0.123863E+00  -0.932752E-06   0.680096E-03  -0.932752E-06   0.163789E-06
    51   0.119598E+04   0.908501E+00   0.666938E-03   0.908501E+00   0.131717E+00  -0.103390E-05   0.666938E-03  -0.103390E-05   0.163173E-06
    52   0.120999E+04   0.748114E+00   0.654264E-03   0.748114E+00   0.139846E+00  -0.115612E-05   0.654264E-03  -0.115612E-05   0.162533E-06
    53   0.122393E+04   0.568215E+00   0.642029E-03   0.568215E+00   0.148402E+00  -0.127779E-05   0.642029E-03  -0.127779E-05   0.161871E-06
    54   0.123773E+04   0.372405E+00   0.630191E-03   0.372405E+00   0.157382E+00  -0.137728E-05   0.630191E-03  -0.137728E-05   0.161189E-06
    55   0.125161E+04   0.164403E+00   0.618706E-03   0.164403E+00   0.166769E+00  -0.143296E-05   0.618706E-03  -0.143296E-05   0.160487E-06
    56   0.126579E+04  -0.579156E-01   0.607533E-03  -0.579156E-01   0.176423E+00  -0.143059E-05   0.607533E-03  -0.143059E-05   0.159767E-06
    57   0.128021E+04  -0.293732E+00   0.596639E-03  -0.293732E+00   0.186236E+00  -0.138551E-05   0.596639E-03  -0.138551E-05   0.159031E-06
    58   0.129488E+04  -0.542726E+00   0.585994E-03  -0.542726E+00   0.196215E+00  -0.132043E-05   0.585994E-03  -0.132043E-05   0.158278E-06
    59   0.130966E+04  -0.804597E+00   0.575568E-03  -0.804597E+00   0.206397E+00  -0.125807E-05   0.575568E-03  -0.125807E-05   0.157510E-06
    60   0.132456E+04  -0.107761E+01   0.565329E-03  -0.107761E+01   0.216834E+00  -0.122116E-05   0.565329E-03  -0.122116E-05   0.156726E-06
    61   0.133990E+04  -0.136014E+01   0.555257E-03  -0.136014E+01   0.227618E+00  -0.122571E-05   0.555257E-03  -0.122571E-05   0.155929E-06
    62   0.135508E+04  -0.165326E+01   0.545374E-03  -0.165326E+01   0.238733E+00  -0.126091E-05   0.545374E-03  -0.126091E-05   0.155120E-06
    63   0.137031E+04  -0.195840E+01   0.535709E-03  -0.195840E+01   0.250137E+00  -0.130925E-05   0.535709E-03  -0.130925E-05   0.154299E-06
    64   0.138590E+04  -0.227718E+01   0.526295E-03  -0.227718E+01   0.261839E+00  -0.135321E-05   0.526295E-03  -0.135321E-05   0.153468E-06
    65   0.140148E+04  -0.261066E+01   0.517162E-03  -0.261066E+01   0.273812E+00  -0.137528E-05   0.517162E-03  -0.137528E-05   0.152629E-06
    66   0.141732E+04  -0.295735E+01   0.508334E-03  -0.295735E+01   0.285986E+00  -0.136336E-05   0.508334E-03  -0.136336E-05   0.151782E-06
    67   0.143329E+04  -0.331476E+01   0.499814E-03  -0.331476E+01   0.298363E+00  -0.132711E-05   0.499814E-03  -0.132711E-05   0.150929E-06
    68   0.144965E+04  -0.368147E+01   0.491595E-03  -0.368147E+01   0.310983E+00  -0.128157E-05   0.491595E-03  -0.128157E-05   0.150070E-06
    69   0.146618E+04  -0.405596E+01   0.483673E-03  -0.405596E+01   0.323808E+00  -0.124183E-05   0.483673E-03  -0.124183E-05   0.149205E-06
    70   0.148300E+04  -0.444013E+01   0.476043E-03  -0.444013E+01   0.336877E+00  -0.122294E-05   0.476043E-03  -0.122294E-05   0.148336E-06
    71   0.149996E+04  -0.483651E+01   0.468692E-03  -0.483651E+01   0.350179E+00  -0.123531E-05   0.468692E-03  -0.123531E-05   0.147462E-06
    72   0.151710E+04  -0.524613E+01   0.461587E-03  -0.524613E+01   0.363685E+00  -0.127070E-05   0.461587E-03  -0.127070E-05   0.146585E-06
    73   0.153436E+04  -0.566914E+01   0.454685E-03  -0.566914E+01   0.377354E+00  -0.131620E-05   0.454685E-03  -0.131620E-05   0.145704E-06
    74   0.155178E+04  -0.610423E+01   0.447947E-03  -0.610423E+01   0.391171E+00  -0.135890E-05   0.447947E-03  -0.135890E-05   0.144819E-06
    75   0.156947E+04  -0.654948E+01   0.441331E-03  -0.654948E+01   0.405140E+00  -0.138590E-05   0.441331E-03  -0.138590E-05   0.143930E-06
    76   0.158737E+04  -0.700392E+01   0.434803E-03  -0.700392E+01   0.419260E+00  -0.138743E-05   0.434803E-03  -0.138743E-05   0.143038E-06
    77   0.160555E+04  -0.746748E+01   0.428361E-03  -0.746748E+01   0.433520E+00  -0.136627E-05   0.428361E-03  -0.136627E-05   0.142143E-06
    78   0.162407E+04  -0.794181E+01   0.422009E-03  -0.794181E+01   0.447949E+00  -0.132834E-05   0.422009E-03  -0.132834E-05   0.141246E-06
    79   0.164275E+04  -0.842333E+01   0.415752E-03  -0.842333E+01   0.462491E+00  -0.127955E-05   0.415752E-03  -0.127955E-05   0.140347E-06
    80   0.166173E+04  -0.891369E+01   0.409593E-03  -0.891369E+01   0.477151E+00  -0.122585E-05   0.409593E-03  -0.122585E-05   0.139446E-06
    81   0.168091E+04  -0.941355E+01   0.403538E-03  -0.941355E+01   0.491879E+00  -0.117319E-05   0.403538E-03  -0.117319E-05   0.138546E-06
    82   0.170037E+04  -0.992194E+01   0.397587E-03  -0.992194E+01   0.506693E+00  -0.112783E-05   0.397587E-03  -0.112783E-05   0.137645E-06
    83   0.172002E+04  -0.104384E+02   0.391743E-03  -0.104384E+02   0.521566E+00  -0.109606E-05   0.391743E-03  -0.109606E-05   0.136744E-06
    84   0.173994E+04  -0.109610E+02   0.386007E-03  -0.109610E+02   0.536490E+00  -0.108417E-05   0.386007E-03  -0.108417E-05   0.135843E-06
    85   0.175997E+04  -0.114909E+02   0.380381E-03  -0.114909E+02   0.551437E+00  -0.109847E-05   0.380381E-03  -0.109847E-05   0.134944E-06
    86   0.178018E+04  -0.120267E+02   0.374867E-03  -0.120267E+02   0.566417E+00  -0.114262E-05   0.374867E-03  -0.114262E-05   0.134046E-06
    87   0.180081E+04  -0.125679E+02   0.369465E-03  -0.125679E+02   0.581396E+00  -0.120982E-05   0.369465E-03  -0.120982E-05   0.133150E-06
    88   0.182142E+04  -0.131144E+02   0.364177E-03  -0.131144E+02   0.596388E+00  -0.129060E-05   0.364177E-03  -0.129060E-05   0.132255E-06
    89   0.184238E+04  -0.136677E+02   0.359004E-03  -0.136677E+02   0.611376E+00  -0.137554E-05   0.359004E-03  -0.137554E-05   0.131363E-06
    90   0.186356E+04  -0.142250E+02   0.353948E-03  -0.142250E+02   0.626322E+00  -0.145517E-05   0.353948E-03  -0.145517E-05   0.130472E-06
    91   0.188488E+04  -0.147870E+02   0.349008E-03  -0.147870E+02   0.641216E+00  -0.152179E-05   0.349008E-03  -0.152179E-05   0.129585E-06
    92   0.190650E+04  -0.153530E+02   0.344183E-03  -0.153530E+02   0.656042E+00  -0.157463E-05   0.344183E-03  -0.157463E-05   0.128699E-06
