#    L    TT             EE             BB             TE          
    91   0.188737E+04   0.642825E+00   0.192864E-02  -0.147962E+02
    92   0.190899E+04   0.657664E+00   0.196227E-02  -0.153612E+02
    93   0.193090E+04   0.672427E+00   0.199616E-02  -0.159301E+02
    94   0.195288E+04   0.687077E+00   0.203034E-02  -0.165015E+02
    95   0.197516E+04   0.701614E+00   0.206481E-02  -0.170761E+02
    96   0.199744E+04   0.716022E+00   0.209957E-02  -0.176532E+02
    97   0.202015E+04   0.730287E+00   0.213464E-02  -0.182322E+02
    98   0.204309E+04   0.744400E+00   0.217002E-02  -0.188107E+02
    99   0.206610E+04   0.758323E+00   0.220572E-02  -0.193919E+02
   100   0.208939E+04   0.772058E+00   0.224175E-02  -0.199711E+02
   101   0.211283E+04   0.785662E+00   0.227812E-02  -0.205516E+02
   102   0.213679E+04   0.798986E+00   0.231484E-02  -0.211309E+02
   103   0.216067E+04   0.812106E+00   0.235191E-02  -0.217099E+02
   104   0.218476E+04   0.825019E+00   0.238934E-02  -0.222857E+02
   105   0.220899E+04   0.837653E+00   0.242714E-02  -0.228597E+02
   106   0.223344E+04   0.850080E+00   0.246532E-02  -0.234313E+02
   107   0.225781E+04   0.862152E+00   0.250388E-02  -0.239989E+02
   108   0.228254E+04   0.873942E+00   0.254284E-02  -0.245633E+02
   109   0.230741E+04   0.885377E+00   0.258220E-02  -0.251231E+02
   110   0.233234E+04   0.896455E+00   0.262198E-02  -0.256768E+02
   111   0.235742E+04   0.907252E+00   0.266217E-02  -0.262259E+02
   112   0.238264E+04   0.917693E+00   0.270279E-02  -0.267697E+02
   113   0.240807E+04   0.927780E+00   0.274386E-02  -0.273066E+02
   114   0.243358E+04   0.937440E+00   0.278536E-02  -0.278360E+02
   115   0.245930E+04   0.946822E+00   0.282733E-02  -0.283579E+02
   116   0.248502E+04   0.955705E+00   0.286976E-02  -0.288715E+02
   117   0.251104E+04   0.964165E+00   0.291267E-02  -0.293762E+02
   118   0.253720E+04   0.972350E+00   0.295607E-02  -0.298726E+02
   119   0.256337E+04   0.980114E+00   0.299997E-02  -0.303585E+02
   120   0.258969E+04   0.987310E+00   0.304437E-02  -0.308340E+02
   121   0.261602E+04   0.994235E+00   0.308929E-02  -0.312991E+02
   122   0.264243E+04   0.100059E+01   0.313474E-02  -0.317531E+02
   123   0.266892E+04   0.100646E+01   0.318073E-02  -0.321959E+02
   124   0.269549E+04   0.101191E+01   0.322727E-02  -0.326245E+02
   125   0.272208E+04   0.101688E+01   0.327438E-02  -0.330414E+02
   126   0.274875E+04   0.102143E+01   0.332206E-02  -0.334456E+02
   127   0.277543E+04   0.102542E+01   0.337034E-02  -0.338365E+02
   128   0.280214E+04   0.102900E+01   0.341921E-02  -0.342134E+02
   129   0.282893E+04   0.103203E+01   0.346869E-02  -0.345755E+02
   130   0.285574E+04   0.103449E+01   0.351880E-02  -0.349220E+02
   131   0.288256E+04   0.103655E+01   0.356955E-02  -0.352546E+02
   132   0.290949E+04   0.103806E+01   0.362094E-02  -0.355703E+02
   133   0.293635E+04   0.103910E+01   0.367300E-02  -0.358714E+02
   134   0.296323E+04   0.103966E+01   0.372573E-02  -0.361535E+02
   135   0.299013E+04   0.103969E+01   0.377914E-02  -0.364197E+02
   136   0.301689E+04   0.103918E+01   0.383324E-02  -0.366664E+02
   137   0.304367E+04   0.103821E+01   0.388805E-02  -0.368959E+02
   138   0.307039E+04   0.103671E+01   0.394357E-02  -0.371068E+02
   139   0.309690E+04   0.103484E+01   0.399983E-02  -0.372983E+02
   140   0.312350E+04   0.103238E+01   0.405682E-02  -0.374715E+02
   141   0.314988E+04   0.102939E+01   0.411456E-02  -0.376240E+02
   142   0.317628E+04   0.102597E+01   0.417306E-02  -0.377568E+02
   143   0.320261E+04   0.102212E+01   0.423234E-02  -0.378698E+02
   144   0.322873E+04   0.101775E+01   0.429240E-02  -0.379626E+02
   145   0.325470E+04   0.101304E+01   0.435325E-02  -0.380344E+02
   146   0.328076E+04   0.100776E+01   0.441491E-02  -0.380852E+02
   147   0.330645E+04   0.100213E+01   0.447739E-02  -0.381138E+02
   148   0.333200E+04   0.996007E+00   0.454069E-02  -0.381216E+02
   149   0.335748E+04   0.989476E+00   0.460482E-02  -0.381072E+02
   150   0.338267E+04   0.982612E+00   0.466980E-02  -0.380686E+02
   151   0.340771E+04   0.975344E+00   0.473562E-02  -0.380088E+02
   152   0.343246E+04   0.967603E+00   0.480231E-02  -0.379263E+02
   153   0.345707E+04   0.959540E+00   0.486986E-02  -0.378191E+02
   154   0.348145E+04   0.951160E+00   0.493828E-02  -0.376893E+02
   155   0.350561E+04   0.942466E+00   0.500758E-02  -0.375364E+02
   156   0.352941E+04   0.933464E+00   0.507775E-02  -0.373604E+02
   157   0.355313E+04   0.924156E+00   0.514880E-02  -0.371599E+02
   158   0.357656E+04   0.914621E+00   0.522074E-02  -0.369357E+02
   159   0.359969E+04   0.904715E+00   0.529356E-02  -0.366878E+02
