#    L    TT             EE             TE             PP             TP          
    75   0.156947E+04   0.405140E+00  -0.654948E+01   0.654213E+07   0.740904E+04
    76   0.158737E+04   0.419260E+00  -0.700392E+01   0.650384E+07   0.730135E+04
    77   0.160555E+04   0.433520E+00  -0.746748E+01   0.646532E+07   0.719500E+04
    78   0.162407E+04   0.447949E+00  -0.794181E+01   0.642662E+07   0.709005E+04
    79   0.164275E+04   0.462491E+00  -0.842333E+01   0.638776E+07   0.698660E+04
    80   0.166173E+04   0.477151E+00  -0.891369E+01   0.634877E+07   0.688472E+04
    81   0.168091E+04   0.491879E+00  -0.941355E+01   0.630968E+07   0.678449E+04
    82   0.170037E+04   0.506693E+00  -0.992194E+01   0.627051E+07   0.668593E+04
    83   0.172002E+04   0.521566E+00  -0.104384E+02   0.623128E+07   0.658909E+04
    84   0.173994E+04   0.536490E+00  -0.109610E+02   0.619200E+07   0.649400E+04
    85   0.175997E+04   0.551437E+00  -0.114909E+02   0.615271E+07   0.640068E+04
    86   0.178018E+04   0.566417E+00  -0.120267E+02   0.611342E+07   0.630917E+04
    87   0.180081E+04   0.581396E+00  -0.125679E+02   0.607415E+07   0.621948E+04
    88   0.182142E+04   0.596388E+00  -0.131144E+02   0.603490E+07   0.613165E+04
    89   0.184238E+04   0.611376E+00  -0.136677E+02   0.599568E+07   0.604570E+04
    90   0.186356E+04   0.626322E+00  -0.142250E+02   0.595652E+07   0.596165E+04
    91   0.188488E+04   0.641216E+00  -0.147870E+02   0.591742E+07   0.587952E+04
    92   0.190650E+04   0.656042E+00  -0.153530E+02   0.587840E+07   0.579927E+04
    93   0.192842E+04   0.670794E+00  -0.159229E+02   0.583945E+07   0.572086E+04
    94   0.195041E+04   0.685433E+00  -0.164954E+02   0.580058E+07   0.564425E+04
    95   0.197269E+04   0.699959E+00  -0.170712E+02   0.576180E+07   0.556938E+04
    96   0.199497E+04   0.714356E+00  -0.176496E+02   0.572312E+07   0.549622E+04
    97   0.201769E+04   0.728610E+00  -0.182299E+02   0.568454E+07   0.542472E+04
    98   0.204063E+04   0.742713E+00  -0.188098E+02   0.564607E+07   0.535484E+04
    99   0.206365E+04   0.756627E+00  -0.193923E+02   0.560772E+07   0.528653E+04
   100   0.208695E+04   0.770352E+00  -0.199731E+02   0.556949E+07   0.521975E+04
   101   0.211040E+04   0.783947E+00  -0.205550E+02   0.553138E+07   0.515445E+04
   102   0.213437E+04   0.797262E+00  -0.211359E+02   0.549342E+07   0.509060E+04
   103   0.215825E+04   0.810372E+00  -0.217166E+02   0.545559E+07   0.502814E+04
   104   0.218236E+04   0.823277E+00  -0.222941E+02   0.541791E+07   0.496703E+04
   105   0.220660E+04   0.835901E+00  -0.228698E+02   0.538039E+07   0.490723E+04
   106   0.223107E+04   0.848318E+00  -0.234432E+02   0.534303E+07   0.484870E+04
   107   0.225545E+04   0.860381E+00  -0.240126E+02   0.530583E+07   0.479138E+04
   108   0.228020E+04   0.872161E+00  -0.245790E+02   0.526881E+07   0.473524E+04
   109   0.230508E+04   0.883586E+00  -0.251407E+02   0.523197E+07   0.468022E+04
   110   0.233004E+04   0.894654E+00  -0.256965E+02   0.519531E+07   0.462630E+04
   111   0.235513E+04   0.905439E+00  -0.262476E+02   0.515885E+07   0.457341E+04
   112   0.238037E+04   0.915869E+00  -0.267935E+02   0.512259E+07   0.452155E+04
   113   0.240583E+04   0.925943E+00  -0.273326E+02   0.508652E+07   0.447067E+04
   114   0.243135E+04   0.935590E+00  -0.278642E+02   0.505064E+07   0.442075E+04
   115   0.245710E+04   0.944959E+00  -0.283884E+02   0.501497E+07   0.437176E+04
   116   0.248285E+04   0.953827E+00  -0.289044E+02   0.497950E+07   0.432368E+04
   117   0.250889E+04   0.962270E+00  -0.294114E+02   0.494423E+07   0.427647E+04
   118   0.253509E+04   0.970439E+00  -0.299102E+02   0.490917E+07   0.423012E+04
   119   0.256128E+04   0.978185E+00  -0.303986E+02   0.487431E+07   0.418459E+04
   120   0.258764E+04   0.985360E+00  -0.308767E+02   0.483966E+07   0.413985E+04
   121   0.261399E+04   0.992265E+00  -0.313443E+02   0.480522E+07   0.409589E+04
   122   0.264044E+04   0.998601E+00  -0.318009E+02   0.477098E+07   0.405266E+04
   123   0.266696E+04   0.100444E+01  -0.322463E+02   0.473696E+07   0.401015E+04
   124   0.269357E+04   0.100987E+01  -0.326777E+02   0.470316E+07   0.396833E+04
   125   0.272019E+04   0.101481E+01  -0.330973E+02   0.466957E+07   0.392716E+04
   126   0.274690E+04   0.101933E+01  -0.335043E+02   0.463619E+07   0.388663E+04
   127   0.277363E+04   0.102329E+01  -0.338980E+02   0.460304E+07   0.384671E+04
   128   0.280037E+04   0.102683E+01  -0.342777E+02   0.457010E+07   0.380736E+04
   129   0.282720E+04   0.102982E+01  -0.346426E+02   0.453739E+07   0.376856E+04
   130   0.285406E+04   0.103225E+01  -0.349921E+02   0.450490E+07   0.373028E+04
   131   0.288093E+04   0.103426E+01  -0.353276E+02   0.447263E+07   0.369250E+04
   132   0.290790E+04   0.103573E+01  -0.356462E+02   0.444059E+07   0.365522E+04
   133   0.293481E+04   0.103672E+01  -0.359503E+02   0.440877E+07   0.361842E+04
   134   0.296175E+04   0.103723E+01  -0.362354E+02   0.437717E+07   0.358210E+04
   135   0.298870E+04   0.103720E+01  -0.365046E+02   0.434579E+07   0.354626E+04
   136   0.301552E+04   0.103663E+01  -0.367543E+02   0.431464E+07   0.351090E+04
