#    L    TT             EE             BB             TE             PP             TP             EP          
   490   0.208956E+04   0.527285E+01   0.206593E-04  -0.244568E+02   0.118647E-07   0.278259E-05   0.492291E-06
   491   0.209267E+04   0.527605E+01   0.206138E-04  -0.234603E+02   0.118116E-07   0.279283E-05   0.469784E-06
   492   0.209571E+04   0.528397E+01   0.205706E-04  -0.224604E+02   0.117587E-07   0.280478E-05   0.447329E-06
   493   0.209853E+04   0.529507E+01   0.205297E-04  -0.214559E+02   0.117062E-07   0.281833E-05   0.424943E-06
   494   0.210115E+04   0.531231E+01   0.204910E-04  -0.204510E+02   0.116540E-07   0.283336E-05   0.402645E-06
   495   0.210349E+04   0.533341E+01   0.204546E-04  -0.194446E+02   0.116020E-07   0.284976E-05   0.380451E-06
   496   0.210563E+04   0.535982E+01   0.204202E-04  -0.184386E+02   0.115504E-07   0.286743E-05   0.358379E-06
   497   0.210758E+04   0.539078E+01   0.203880E-04  -0.174324E+02   0.114991E-07   0.288624E-05   0.336447E-06
   498   0.210932E+04   0.542550E+01   0.203578E-04  -0.164297E+02   0.114481E-07   0.290610E-05   0.314671E-06
   499   0.211096E+04   0.546618E+01   0.203295E-04  -0.154276E+02   0.113974E-07   0.292689E-05   0.293070E-06
   500   0.211233E+04   0.551055E+01   0.203031E-04  -0.144312E+02   0.113470E-07   0.294850E-05   0.271660E-06
   501   0.211336E+04   0.556081E+01   0.202786E-04  -0.134392E+02   0.112968E-07   0.297083E-05   0.250456E-06
   502   0.211437E+04   0.561612E+01   0.202558E-04  -0.124514E+02   0.112470E-07   0.299388E-05   0.229459E-06
   503   0.211505E+04   0.567567E+01   0.202347E-04  -0.114700E+02   0.111974E-07   0.301763E-05   0.208667E-06
   504   0.211549E+04   0.574009E+01   0.202151E-04  -0.104933E+02   0.111482E-07   0.304210E-05   0.188077E-06
   505   0.211590E+04   0.581005E+01   0.201970E-04  -0.952475E+01   0.110992E-07   0.306727E-05   0.167687E-06
   506   0.211593E+04   0.588486E+01   0.201802E-04  -0.856201E+01   0.110505E-07   0.309316E-05   0.147495E-06
   507   0.211588E+04   0.596414E+01   0.201647E-04  -0.760710E+01   0.110020E-07   0.311977E-05   0.127499E-06
   508   0.211552E+04   0.604883E+01   0.201504E-04  -0.665909E+01   0.109539E-07   0.314709E-05   0.107697E-06
   509   0.211500E+04   0.613789E+01   0.201371E-04  -0.572077E+01   0.109060E-07   0.317512E-05   0.880861E-07
   510   0.211420E+04   0.623190E+01   0.201248E-04  -0.479121E+01   0.108584E-07   0.320387E-05   0.686643E-07
   511   0.211332E+04   0.633046E+01   0.201133E-04  -0.387022E+01   0.108111E-07   0.323334E-05   0.494295E-07
   512   0.211215E+04   0.643393E+01   0.201027E-04  -0.295911E+01   0.107641E-07   0.326353E-05   0.303794E-07
   513   0.211085E+04   0.654202E+01   0.200927E-04  -0.205917E+01   0.107173E-07   0.329444E-05   0.115118E-07
   514   0.210934E+04   0.665491E+01   0.200833E-04  -0.117022E+01   0.106708E-07   0.332606E-05  -0.717547E-08
   515   0.210763E+04   0.677245E+01   0.200743E-04  -0.292072E+00   0.106246E-07   0.335841E-05  -0.256847E-07
   516   0.210572E+04   0.689463E+01   0.200657E-04   0.573973E+00   0.105786E-07   0.339148E-05  -0.440180E-07
   517   0.210355E+04   0.702150E+01   0.200575E-04   0.142736E+01   0.105329E-07   0.342528E-05  -0.621776E-07
   518   0.210126E+04   0.715283E+01   0.200494E-04   0.226752E+01   0.104875E-07   0.345980E-05  -0.801658E-07
   519   0.209885E+04   0.728875E+01   0.200414E-04   0.309540E+01   0.104423E-07   0.349504E-05  -0.979848E-07
   520   0.209619E+04   0.742910E+01   0.200333E-04   0.390821E+01   0.103974E-07   0.353101E-05  -0.115637E-06
   521   0.209328E+04   0.757386E+01   0.200252E-04   0.470612E+01   0.103528E-07   0.356770E-05  -0.133124E-06
   522   0.209020E+04   0.772318E+01   0.200169E-04   0.548933E+01   0.103084E-07   0.360513E-05  -0.150448E-06
   523   0.208702E+04   0.787680E+01   0.200082E-04   0.625654E+01   0.102642E-07   0.364328E-05  -0.167613E-06
   524   0.208368E+04   0.803465E+01   0.199992E-04   0.700718E+01   0.102204E-07   0.368216E-05  -0.184619E-06
   525   0.208002E+04   0.819678E+01   0.199896E-04   0.774220E+01   0.101767E-07   0.372177E-05  -0.201469E-06
   526   0.207628E+04   0.836310E+01   0.199795E-04   0.845953E+01   0.101333E-07   0.376211E-05  -0.218165E-06
   527   0.207254E+04   0.853353E+01   0.199687E-04   0.915864E+01   0.100902E-07   0.380319E-05  -0.234710E-06
   528   0.206850E+04   0.870798E+01   0.199571E-04   0.983821E+01   0.100473E-07   0.384500E-05  -0.251105E-06
   529   0.206431E+04   0.888665E+01   0.199445E-04   0.104999E+02   0.100047E-07   0.388754E-05  -0.267354E-06
   530   0.205991E+04   0.906924E+01   0.199310E-04   0.111402E+02   0.996228E-08   0.393082E-05  -0.283457E-06
   531   0.205559E+04   0.925558E+01   0.199164E-04   0.117623E+02   0.992013E-08   0.397483E-05  -0.299418E-06
   532   0.205092E+04   0.944588E+01   0.199007E-04   0.123627E+02   0.987822E-08   0.401958E-05  -0.315238E-06
   533   0.204612E+04   0.963990E+01   0.198836E-04   0.129414E+02   0.983655E-08   0.406507E-05  -0.330920E-06
   534   0.204119E+04   0.983762E+01   0.198652E-04   0.134980E+02   0.979511E-08   0.411130E-05  -0.346466E-06
   535   0.203614E+04   0.100390E+02   0.198453E-04   0.140319E+02   0.975392E-08   0.415827E-05  -0.361879E-06
   536   0.203098E+04   0.102439E+02   0.198238E-04   0.145434E+02   0.971295E-08   0.420597E-05  -0.377159E-06
   537   0.202577E+04   0.104522E+02   0.198006E-04   0.150310E+02   0.967222E-08   0.425442E-05  -0.392311E-06
   538   0.202031E+04   0.106641E+02   0.197757E-04   0.154942E+02   0.963172E-08   0.430361E-05  -0.407335E-06
   539   0.201482E+04   0.108790E+02   0.197489E-04   0.159326E+02   0.959146E-08   0.435355E-05  -0.422234E-06
   540   0.200922E+04   0.110974E+02   0.197201E-04   0.163454E+02   0.955142E-08   0.440423E-05  -0.437010E-06
   541   0.200346E+04   0.113188E+02   0.196893E-04   0.167330E+02   0.951160E-08   0.445565E-05  -0.451666E-06
   542   0.199768E+04   0.115432E+02   0.196563E-04   0.170932E+02   0.947201E-08   0.450782E-05  -0.466203E-06
   543   0.199173E+04   0.117707E+02   0.196211E-04   0.174267E+02   0.943265E-08   0.456074E-05  -0.480625E-06
   544   0.198577E+04   0.120010E+02   0.195835E-04   0.177328E+02   0.939351E-08   0.461440E-05  -0.494932E-06
   545   0.197966E+04   0.122340E+02   0.195434E-04   0.180109E+02   0.935458E-08   0.466882E-05  -0.509128E-06
   546   0.197354E+04   0.124695E+02   0.195008E-04   0.182603E+02   0.931588E-08   0.472398E-05  -0.523214E-06
   547   0.196728E+04   0.127075E+02   0.194555E-04   0.184809E+02   0.927739E-08   0.477990E-05  -0.537193E-06
   548   0.196103E+04   0.129480E+02   0.194075E-04   0.186717E+02   0.923912E-08   0.483656E-05  -0.551067E-06
   549   0.195471E+04   0.131908E+02   0.193567E-04   0.188323E+02   0.920106E-08   0.489398E-05  -0.564838E-06
   550   0.194832E+04   0.134360E+02   0.193029E-04   0.189623E+02   0.916322E-08   0.495215E-05  -0.578509E-06
   551   0.194196E+04   0.136833E+02   0.192461E-04   0.190613E+02   0.912558E-08   0.501107E-05  -0.592080E-06
   552   0.193546E+04   0.139328E+02   0.191863E-04   0.191289E+02   0.908816E-08   0.507073E-05  -0.605551E-06
   553   0.192899E+04   0.141830E+02   0.191238E-04   0.191654E+02   0.905094E-08   0.513109E-05  -0.618921E-06
   554   0.192245E+04   0.144367E+02   0.190584E-04   0.191707E+02   0.901393E-08   0.519214E-05  -0.632187E-06
   555   0.191587E+04   0.146917E+02   0.189905E-04   0.191446E+02   0.897713E-08   0.525384E-05  -0.645348E-06
   556   0.190922E+04   0.149486E+02   0.189199E-04   0.190877E+02   0.894053E-08   0.531619E-05  -0.658403E-06
   557   0.190260E+04   0.152068E+02   0.188470E-04   0.189987E+02   0.890413E-08   0.537915E-05  -0.671349E-06
   558   0.189592E+04   0.154676E+02   0.187716E-04   0.188790E+02   0.886794E-08   0.544271E-05  -0.684185E-06
   559   0.188918E+04   0.157288E+02   0.186941E-04   0.187285E+02   0.883195E-08   0.550684E-05  -0.696910E-06
   560   0.188254E+04   0.159910E+02   0.186143E-04   0.185462E+02   0.879616E-08   0.557151E-05  -0.709521E-06
   561   0.187570E+04   0.162550E+02   0.185326E-04   0.183330E+02   0.876057E-08   0.563670E-05  -0.722017E-06
   562   0.186902E+04   0.165207E+02   0.184488E-04   0.180886E+02   0.872517E-08   0.570240E-05  -0.734397E-06
   563   0.186229E+04   0.167867E+02   0.183632E-04   0.178153E+02   0.868997E-08   0.576857E-05  -0.746659E-06
   564   0.185558E+04   0.170550E+02   0.182759E-04   0.175084E+02   0.865497E-08   0.583520E-05  -0.758800E-06
   565   0.184882E+04   0.173226E+02   0.181869E-04   0.171723E+02   0.862016E-08   0.590226E-05  -0.770821E-06
   566   0.184208E+04   0.175918E+02   0.180963E-04   0.168048E+02   0.858555E-08   0.596973E-05  -0.782718E-06
   567   0.183536E+04   0.178610E+02   0.180043E-04   0.164072E+02   0.855112E-08   0.603758E-05  -0.794490E-06
   568   0.182866E+04   0.181317E+02   0.179109E-04   0.159787E+02   0.851689E-08   0.610580E-05  -0.806136E-06
   569   0.182191E+04   0.184031E+02   0.178163E-04   0.155221E+02   0.848285E-08   0.617435E-05  -0.817653E-06
   570   0.181526E+04   0.186743E+02   0.177205E-04   0.150330E+02   0.844899E-08   0.624322E-05  -0.829041E-06
   571   0.180855E+04   0.189462E+02   0.176236E-04   0.145141E+02   0.841532E-08   0.631238E-05  -0.840297E-06
   572   0.180187E+04   0.192178E+02   0.175258E-04   0.139663E+02   0.838184E-08   0.638181E-05  -0.851421E-06
   573   0.179528E+04   0.194892E+02   0.174271E-04   0.133877E+02   0.834854E-08   0.645149E-05  -0.862409E-06
   574   0.178872E+04   0.197611E+02   0.173276E-04   0.127807E+02   0.831543E-08   0.652139E-05  -0.873262E-06
   575   0.178218E+04   0.200318E+02   0.172275E-04   0.121436E+02   0.828249E-08   0.659150E-05  -0.883976E-06
   576   0.177573E+04   0.203030E+02   0.171267E-04   0.114786E+02   0.824974E-08   0.666178E-05  -0.894551E-06
   577   0.176924E+04   0.205737E+02   0.170256E-04   0.107849E+02   0.821717E-08   0.673221E-05  -0.904984E-06
   578   0.176284E+04   0.208432E+02   0.169240E-04   0.100623E+02   0.818478E-08   0.680277E-05  -0.915274E-06
   579   0.175654E+04   0.211130E+02   0.168222E-04   0.931218E+01   0.815257E-08   0.687345E-05  -0.925420E-06
   580   0.175034E+04   0.213815E+02   0.167201E-04   0.853307E+01   0.812053E-08   0.694421E-05  -0.935419E-06
   581   0.174402E+04   0.216486E+02   0.166181E-04   0.772782E+01   0.808867E-08   0.701503E-05  -0.945271E-06
   582   0.173787E+04   0.219151E+02   0.165160E-04   0.689483E+01   0.805698E-08   0.708589E-05  -0.954972E-06
   583   0.173182E+04   0.221802E+02   0.164140E-04   0.603403E+01   0.802547E-08   0.715676E-05  -0.964523E-06
   584   0.172587E+04   0.224439E+02   0.163123E-04   0.514754E+01   0.799412E-08   0.722763E-05  -0.973921E-06
   585   0.172001E+04   0.227060E+02   0.162109E-04   0.423454E+01   0.796295E-08   0.729847E-05  -0.983165E-06
   586   0.171419E+04   0.229658E+02   0.161099E-04   0.329568E+01   0.793195E-08   0.736926E-05  -0.992252E-06
   587   0.170853E+04   0.232248E+02   0.160094E-04   0.233161E+01   0.790111E-08   0.743997E-05  -0.100118E-05
   588   0.170291E+04   0.234813E+02   0.159096E-04   0.134150E+01   0.787045E-08   0.751057E-05  -0.100995E-05
   589   0.169738E+04   0.237362E+02   0.158104E-04   0.327484E+00   0.783995E-08   0.758106E-05  -0.101856E-05
   590   0.169195E+04   0.239879E+02   0.157121E-04  -0.710529E+00   0.780961E-08   0.765140E-05  -0.102701E-05
   591   0.168670E+04   0.242386E+02   0.156147E-04  -0.177263E+01   0.777944E-08   0.772158E-05  -0.103529E-05
   592   0.168156E+04   0.244852E+02   0.155182E-04  -0.285890E+01   0.774943E-08   0.779156E-05  -0.104340E-05
   593   0.167651E+04   0.247307E+02   0.154229E-04  -0.396647E+01   0.771958E-08   0.786132E-05  -0.105135E-05
   594   0.167149E+04   0.249729E+02   0.153288E-04  -0.509765E+01   0.768989E-08   0.793085E-05  -0.105913E-05
   595   0.166664E+04   0.252108E+02   0.152360E-04  -0.624957E+01   0.766036E-08   0.800012E-05  -0.106674E-05
   596   0.166205E+04   0.254475E+02   0.151446E-04  -0.742380E+01   0.763098E-08   0.806911E-05  -0.107417E-05
   597   0.165756E+04   0.256785E+02   0.150547E-04  -0.861820E+01   0.760177E-08   0.813778E-05  -0.108143E-05
   598   0.165339E+04   0.259074E+02   0.149665E-04  -0.983286E+01   0.757271E-08   0.820613E-05  -0.108852E-05
   599   0.164925E+04   0.261327E+02   0.148799E-04  -0.110664E+02   0.754380E-08   0.827412E-05  -0.109542E-05
   600   0.164522E+04   0.263543E+02   0.147951E-04  -0.123196E+02   0.751505E-08   0.834174E-05  -0.110215E-05
   601   0.164136E+04   0.265723E+02   0.147122E-04  -0.135912E+02   0.748645E-08   0.840896E-05  -0.110870E-05
   602   0.163768E+04   0.267852E+02   0.146311E-04  -0.148814E+02   0.745800E-08   0.847578E-05  -0.111507E-05
   603   0.163409E+04   0.269952E+02   0.145520E-04  -0.161876E+02   0.742969E-08   0.854219E-05  -0.112125E-05
   604   0.163081E+04   0.272003E+02   0.144746E-04  -0.175115E+02   0.740154E-08   0.860818E-05  -0.112726E-05
   605   0.162763E+04   0.274013E+02   0.143991E-04  -0.188520E+02   0.737354E-08   0.867376E-05  -0.113309E-05
   606   0.162467E+04   0.275982E+02   0.143253E-04  -0.202087E+02   0.734569E-08   0.873891E-05  -0.113875E-05
   607   0.162165E+04   0.277911E+02   0.142532E-04  -0.215812E+02   0.731798E-08   0.880363E-05  -0.114422E-05
   608   0.161900E+04   0.279800E+02   0.141829E-04  -0.229690E+02   0.729042E-08   0.886792E-05  -0.114952E-05
   609   0.161657E+04   0.281636E+02   0.141144E-04  -0.243717E+02   0.726300E-08   0.893177E-05  -0.115464E-05
   610   0.161420E+04   0.283428E+02   0.140474E-04  -0.257888E+02   0.723573E-08   0.899517E-05  -0.115959E-05
   611   0.161205E+04   0.285181E+02   0.139822E-04  -0.272193E+02   0.720860E-08   0.905813E-05  -0.116436E-05
   612   0.161011E+04   0.286899E+02   0.139186E-04  -0.286618E+02   0.718161E-08   0.912064E-05  -0.116896E-05
   613   0.160823E+04   0.288544E+02   0.138565E-04  -0.301184E+02   0.715477E-08   0.918268E-05  -0.117339E-05
   614   0.160661E+04   0.290161E+02   0.137961E-04  -0.315869E+02   0.712806E-08   0.924426E-05  -0.117765E-05
   615   0.160513E+04   0.291722E+02   0.137372E-04  -0.330663E+02   0.710150E-08   0.930538E-05  -0.118173E-05
   616   0.160383E+04   0.293249E+02   0.136799E-04  -0.345561E+02   0.707507E-08   0.936602E-05  -0.118564E-05
   617   0.160280E+04   0.294729E+02   0.136240E-04  -0.360559E+02   0.704879E-08   0.942618E-05  -0.118938E-05
   618   0.160188E+04   0.296162E+02   0.135697E-04  -0.375661E+02   0.702264E-08   0.948586E-05  -0.119295E-05
   619   0.160107E+04   0.297556E+02   0.135168E-04  -0.390831E+02   0.699663E-08   0.954505E-05  -0.119635E-05
   620   0.160058E+04   0.298883E+02   0.134654E-04  -0.406089E+02   0.697075E-08   0.960375E-05  -0.119958E-05
   621   0.160011E+04   0.300172E+02   0.134153E-04  -0.421423E+02   0.694501E-08   0.966195E-05  -0.120265E-05
   622   0.159989E+04   0.301410E+02   0.133667E-04  -0.436828E+02   0.691940E-08   0.971965E-05  -0.120554E-05
   623   0.159991E+04   0.302589E+02   0.133194E-04  -0.452277E+02   0.689393E-08   0.977684E-05  -0.120827E-05
   624   0.160002E+04   0.303719E+02   0.132735E-04  -0.467782E+02   0.686859E-08   0.983352E-05  -0.121084E-05
   625   0.160029E+04   0.304800E+02   0.132288E-04  -0.483338E+02   0.684338E-08   0.988968E-05  -0.121323E-05
   626   0.160078E+04   0.305832E+02   0.131855E-04  -0.498925E+02   0.681830E-08   0.994532E-05  -0.121547E-05
   627   0.160150E+04   0.306809E+02   0.131434E-04  -0.514541E+02   0.679335E-08   0.100004E-04  -0.121754E-05
   628   0.160236E+04   0.307731E+02   0.131026E-04  -0.530180E+02   0.676853E-08   0.100550E-04  -0.121944E-05
   629   0.160344E+04   0.308600E+02   0.130630E-04  -0.545831E+02   0.674384E-08   0.101090E-04  -0.122119E-05
   630   0.160458E+04   0.309415E+02   0.130246E-04  -0.561496E+02   0.671928E-08   0.101625E-04  -0.122277E-05
   631   0.160593E+04   0.310178E+02   0.129873E-04  -0.577143E+02   0.669484E-08   0.102155E-04  -0.122418E-05
   632   0.160756E+04   0.310883E+02   0.129512E-04  -0.592788E+02   0.667053E-08   0.102679E-04  -0.122544E-05
   633   0.160925E+04   0.311544E+02   0.129163E-04  -0.608406E+02   0.664635E-08   0.103197E-04  -0.122654E-05
   634   0.161120E+04   0.312132E+02   0.128824E-04  -0.623992E+02   0.662228E-08   0.103710E-04  -0.122748E-05
   635   0.161334E+04   0.312678E+02   0.128496E-04  -0.639538E+02   0.659834E-08   0.104217E-04  -0.122826E-05
   636   0.161553E+04   0.313176E+02   0.128178E-04  -0.655034E+02   0.657453E-08   0.104719E-04  -0.122888E-05
   637   0.161798E+04   0.313596E+02   0.127871E-04  -0.670480E+02   0.655083E-08   0.105214E-04  -0.122934E-05
   638   0.162060E+04   0.313977E+02   0.127573E-04  -0.685852E+02   0.652726E-08   0.105704E-04  -0.122964E-05
   639   0.162340E+04   0.314288E+02   0.127286E-04  -0.701154E+02   0.650381E-08   0.106188E-04  -0.122979E-05
   640   0.162638E+04   0.314554E+02   0.127008E-04  -0.716366E+02   0.648047E-08   0.106666E-04  -0.122978E-05
   641   0.162953E+04   0.314760E+02   0.126739E-04  -0.731485E+02   0.645725E-08   0.107138E-04  -0.122962E-05
   642   0.163276E+04   0.314899E+02   0.126479E-04  -0.746498E+02   0.643415E-08   0.107604E-04  -0.122930E-05
   643   0.163623E+04   0.314994E+02   0.126228E-04  -0.761396E+02   0.641117E-08   0.108064E-04  -0.122883E-05
   644   0.163994E+04   0.315010E+02   0.125986E-04  -0.776168E+02   0.638831E-08   0.108518E-04  -0.122821E-05
   645   0.164372E+04   0.314976E+02   0.125752E-04  -0.790808E+02   0.636555E-08   0.108966E-04  -0.122743E-05
   646   0.164765E+04   0.314886E+02   0.125526E-04  -0.805304E+02   0.634291E-08   0.109407E-04  -0.122650E-05
   647   0.165188E+04   0.314732E+02   0.125307E-04  -0.819650E+02   0.632039E-08   0.109843E-04  -0.122542E-05
   648   0.165610E+04   0.314524E+02   0.125097E-04  -0.833822E+02   0.629798E-08   0.110272E-04  -0.122419E-05
   649   0.166061E+04   0.314247E+02   0.124893E-04  -0.847825E+02   0.627568E-08   0.110694E-04  -0.122281E-05
   650   0.166525E+04   0.313909E+02   0.124697E-04  -0.861639E+02   0.625349E-08   0.111110E-04  -0.122128E-05
   651   0.167002E+04   0.313526E+02   0.124508E-04  -0.875260E+02   0.623141E-08   0.111520E-04  -0.121960E-05
   652   0.167491E+04   0.313077E+02   0.124325E-04  -0.888684E+02   0.620943E-08   0.111923E-04  -0.121777E-05
   653   0.168008E+04   0.312555E+02   0.124148E-04  -0.901899E+02   0.618757E-08   0.112320E-04  -0.121580E-05
   654   0.168529E+04   0.311984E+02   0.123976E-04  -0.914901E+02   0.616582E-08   0.112710E-04  -0.121368E-05
   655   0.169062E+04   0.311359E+02   0.123811E-04  -0.927700E+02   0.614417E-08   0.113094E-04  -0.121141E-05
   656   0.169621E+04   0.310672E+02   0.123650E-04  -0.940285E+02   0.612263E-08   0.113471E-04  -0.120900E-05
   657   0.170190E+04   0.309926E+02   0.123493E-04  -0.952645E+02   0.610120E-08   0.113842E-04  -0.120645E-05
   658   0.170762E+04   0.309128E+02   0.123341E-04  -0.964791E+02   0.607987E-08   0.114206E-04  -0.120375E-05
   659   0.171366E+04   0.308273E+02   0.123193E-04  -0.976710E+02   0.605864E-08   0.114563E-04  -0.120091E-05
   660   0.171980E+04   0.307355E+02   0.123048E-04  -0.988399E+02   0.603752E-08   0.114913E-04  -0.119793E-05
   661   0.172603E+04   0.306382E+02   0.122906E-04  -0.999846E+02   0.601651E-08   0.115257E-04  -0.119481E-05
   662   0.173243E+04   0.305363E+02   0.122767E-04  -0.101107E+03   0.599560E-08   0.115595E-04  -0.119155E-05
   663   0.173890E+04   0.304292E+02   0.122631E-04  -0.102206E+03   0.597479E-08   0.115925E-04  -0.118815E-05
   664   0.174553E+04   0.303156E+02   0.122496E-04  -0.103279E+03   0.595408E-08   0.116249E-04  -0.118462E-05
   665   0.175224E+04   0.301969E+02   0.122363E-04  -0.104328E+03   0.593347E-08   0.116566E-04  -0.118095E-05
   666   0.175910E+04   0.300735E+02   0.122231E-04  -0.105352E+03   0.591297E-08   0.116876E-04  -0.117714E-05
   667   0.176609E+04   0.299446E+02   0.122100E-04  -0.106350E+03   0.589257E-08   0.117179E-04  -0.117320E-05
   668   0.177308E+04   0.298111E+02   0.121969E-04  -0.107323E+03   0.587226E-08   0.117476E-04  -0.116912E-05
   669   0.178035E+04   0.296724E+02   0.121838E-04  -0.108270E+03   0.585205E-08   0.117766E-04  -0.116491E-05
   670   0.178761E+04   0.295287E+02   0.121708E-04  -0.109188E+03   0.583195E-08   0.118049E-04  -0.116057E-05
   671   0.179506E+04   0.293816E+02   0.121576E-04  -0.110080E+03   0.581194E-08   0.118324E-04  -0.115610E-05
   672   0.180249E+04   0.292281E+02   0.121443E-04  -0.110945E+03   0.579202E-08   0.118593E-04  -0.115150E-05
   673   0.181012E+04   0.290715E+02   0.121309E-04  -0.111781E+03   0.577221E-08   0.118856E-04  -0.114676E-05
   674   0.181778E+04   0.289095E+02   0.121173E-04  -0.112589E+03   0.575249E-08   0.119111E-04  -0.114190E-05
   675   0.182556E+04   0.287432E+02   0.121035E-04  -0.113369E+03   0.573286E-08   0.119359E-04  -0.113691E-05
   676   0.183338E+04   0.285726E+02   0.120895E-04  -0.114118E+03   0.571333E-08   0.119600E-04  -0.113180E-05
   677   0.184130E+04   0.283978E+02   0.120751E-04  -0.114838E+03   0.569390E-08   0.119834E-04  -0.112655E-05
   678   0.184931E+04   0.282182E+02   0.120604E-04  -0.115529E+03   0.567456E-08   0.120061E-04  -0.112119E-05
   679   0.185736E+04   0.280355E+02   0.120454E-04  -0.116188E+03   0.565531E-08   0.120281E-04  -0.111569E-05
   680   0.186556E+04   0.278490E+02   0.120299E-04  -0.116817E+03   0.563615E-08   0.120494E-04  -0.111008E-05
   681   0.187379E+04   0.276581E+02   0.120140E-04  -0.117414E+03   0.561709E-08   0.120699E-04  -0.110434E-05
   682   0.188202E+04   0.274629E+02   0.119976E-04  -0.117980E+03   0.559811E-08   0.120898E-04  -0.109848E-05
   683   0.189041E+04   0.272659E+02   0.119807E-04  -0.118515E+03   0.557923E-08   0.121089E-04  -0.109250E-05
   684   0.189873E+04   0.270633E+02   0.119632E-04  -0.119018E+03   0.556044E-08   0.121274E-04  -0.108640E-05
   685   0.190705E+04   0.268584E+02   0.119452E-04  -0.119488E+03   0.554173E-08   0.121451E-04  -0.108018E-05
   686   0.191544E+04   0.266497E+02   0.119265E-04  -0.119916E+03   0.552312E-08   0.121620E-04  -0.107384E-05
   687   0.192397E+04   0.264389E+02   0.119071E-04  -0.120315E+03   0.550459E-08   0.121783E-04  -0.106739E-05
   688   0.193241E+04   0.262238E+02   0.118871E-04  -0.120683E+03   0.548615E-08   0.121938E-04  -0.106082E-05
   689   0.194091E+04   0.260061E+02   0.118662E-04  -0.121012E+03   0.546780E-08   0.122086E-04  -0.105413E-05
   690   0.194940E+04   0.257867E+02   0.118446E-04  -0.121310E+03   0.544953E-08   0.122227E-04  -0.104733E-05
   691   0.195793E+04   0.255627E+02   0.118222E-04  -0.121570E+03   0.543136E-08   0.122360E-04  -0.104041E-05
   692   0.196644E+04   0.253379E+02   0.117990E-04  -0.121793E+03   0.541326E-08   0.122486E-04  -0.103338E-05
   693   0.197498E+04   0.251103E+02   0.117748E-04  -0.121986E+03   0.539525E-08   0.122605E-04  -0.102624E-05
   694   0.198342E+04   0.248799E+02   0.117497E-04  -0.122134E+03   0.537732E-08   0.122716E-04  -0.101899E-05
   695   0.199197E+04   0.246492E+02   0.117236E-04  -0.122246E+03   0.535948E-08   0.122819E-04  -0.101163E-05
   696   0.200048E+04   0.244153E+02   0.116965E-04  -0.122336E+03   0.534172E-08   0.122916E-04  -0.100416E-05
   697   0.200894E+04   0.241798E+02   0.116684E-04  -0.122376E+03   0.532404E-08   0.123004E-04  -0.996576E-06
   698   0.201735E+04   0.239420E+02   0.116392E-04  -0.122380E+03   0.530645E-08   0.123086E-04  -0.988888E-06
   699   0.202571E+04   0.237037E+02   0.116089E-04  -0.122341E+03   0.528893E-08   0.123159E-04  -0.981093E-06
   700   0.203408E+04   0.234634E+02   0.115774E-04  -0.122267E+03   0.527150E-08   0.123226E-04  -0.973192E-06
   701   0.204239E+04   0.232221E+02   0.115447E-04  -0.122159E+03   0.525415E-08   0.123284E-04  -0.965186E-06
   702   0.205064E+04   0.229804E+02   0.115109E-04  -0.122002E+03   0.523687E-08   0.123335E-04  -0.957077E-06
   703   0.205883E+04   0.227370E+02   0.114759E-04  -0.121827E+03   0.521967E-08   0.123379E-04  -0.948867E-06
   704   0.206696E+04   0.224933E+02   0.114399E-04  -0.121598E+03   0.520256E-08   0.123415E-04  -0.940557E-06
   705   0.207495E+04   0.222480E+02   0.114029E-04  -0.121330E+03   0.518552E-08   0.123444E-04  -0.932151E-06
   706   0.208296E+04   0.220026E+02   0.113648E-04  -0.121031E+03   0.516855E-08   0.123465E-04  -0.923648E-06
   707   0.209083E+04   0.217563E+02   0.113258E-04  -0.120695E+03   0.515167E-08   0.123478E-04  -0.915053E-06
   708   0.209879E+04   0.215100E+02   0.112859E-04  -0.120308E+03   0.513486E-08   0.123484E-04  -0.906366E-06
   709   0.210655E+04   0.212629E+02   0.112451E-04  -0.119900E+03   0.511813E-08   0.123483E-04  -0.897589E-06
   710   0.211432E+04   0.210150E+02   0.112035E-04  -0.119450E+03   0.510147E-08   0.123474E-04  -0.888725E-06
   711   0.212196E+04   0.207673E+02   0.111611E-04  -0.118959E+03   0.508489E-08   0.123457E-04  -0.879776E-06
   712   0.212954E+04   0.205196E+02   0.111179E-04  -0.118442E+03   0.506839E-08   0.123434E-04  -0.870743E-06
   713   0.213714E+04   0.202714E+02   0.110740E-04  -0.117878E+03   0.505196E-08   0.123402E-04  -0.861628E-06
   714   0.214446E+04   0.200240E+02   0.110294E-04  -0.117282E+03   0.503560E-08   0.123364E-04  -0.852433E-06
   715   0.215179E+04   0.197762E+02   0.109842E-04  -0.116656E+03   0.501932E-08   0.123318E-04  -0.843161E-06
   716   0.215907E+04   0.195286E+02   0.109385E-04  -0.115993E+03   0.500311E-08   0.123264E-04  -0.833813E-06
   717   0.216622E+04   0.192820E+02   0.108921E-04  -0.115286E+03   0.498698E-08   0.123203E-04  -0.824391E-06
   718   0.217324E+04   0.190358E+02   0.108453E-04  -0.114558E+03   0.497092E-08   0.123135E-04  -0.814897E-06
   719   0.218021E+04   0.187885E+02   0.107979E-04  -0.113780E+03   0.495493E-08   0.123059E-04  -0.805334E-06
