#    L    TT             EE             BB             TE          
    91   0.188676E+04   0.642320E+00   0.159334E-02  -0.147823E+02
    92   0.190840E+04   0.657157E+00   0.162841E-02  -0.153474E+02
    93   0.193033E+04   0.671919E+00   0.166390E-02  -0.159165E+02
    94   0.195233E+04   0.686568E+00   0.169983E-02  -0.164881E+02
    95   0.197463E+04   0.701104E+00   0.173618E-02  -0.170629E+02
    96   0.199692E+04   0.715512E+00   0.177298E-02  -0.176403E+02
    97   0.201966E+04   0.729776E+00   0.181021E-02  -0.182194E+02
    98   0.204261E+04   0.743888E+00   0.184790E-02  -0.187982E+02
    99   0.206564E+04   0.757812E+00   0.188603E-02  -0.193795E+02
   100   0.208895E+04   0.771547E+00   0.192461E-02  -0.199590E+02
   101   0.211241E+04   0.785151E+00   0.196365E-02  -0.205397E+02
   102   0.213638E+04   0.798476E+00   0.200316E-02  -0.211193E+02
   103   0.216027E+04   0.811597E+00   0.204312E-02  -0.216986E+02
   104   0.218438E+04   0.824511E+00   0.208355E-02  -0.222746E+02
   105   0.220863E+04   0.837146E+00   0.212446E-02  -0.228489E+02
   106   0.223309E+04   0.849574E+00   0.216584E-02  -0.234207E+02
   107   0.225748E+04   0.861648E+00   0.220770E-02  -0.239885E+02
   108   0.228222E+04   0.873440E+00   0.225004E-02  -0.245532E+02
   109   0.230711E+04   0.884877E+00   0.229287E-02  -0.251133E+02
   110   0.233206E+04   0.895958E+00   0.233619E-02  -0.256672E+02
   111   0.235715E+04   0.906757E+00   0.238000E-02  -0.262165E+02
   112   0.238238E+04   0.917201E+00   0.242432E-02  -0.267605E+02
   113   0.240782E+04   0.927291E+00   0.246913E-02  -0.272978E+02
   114   0.243334E+04   0.936954E+00   0.251446E-02  -0.278274E+02
   115   0.245907E+04   0.946339E+00   0.256030E-02  -0.283496E+02
   116   0.248480E+04   0.955226E+00   0.260666E-02  -0.288634E+02
   117   0.251083E+04   0.963688E+00   0.265354E-02  -0.293683E+02
   118   0.253701E+04   0.971878E+00   0.270094E-02  -0.298650E+02
   119   0.256319E+04   0.979646E+00   0.274888E-02  -0.303512E+02
   120   0.258952E+04   0.986845E+00   0.279736E-02  -0.308270E+02
   121   0.261585E+04   0.993774E+00   0.284639E-02  -0.312923E+02
   122   0.264227E+04   0.100014E+01   0.289596E-02  -0.317465E+02
   123   0.266877E+04   0.100601E+01   0.294610E-02  -0.321896E+02
   124   0.269535E+04   0.101147E+01   0.299679E-02  -0.326185E+02
