#    L    TT             EE             BB             TE          
    91   0.188550E+04   0.641721E+00   0.335300E-03  -0.148009E+02
    92   0.190710E+04   0.656549E+00   0.333858E-03  -0.153667E+02
    93   0.192899E+04   0.671302E+00   0.332262E-03  -0.159365E+02
    94   0.195096E+04   0.685942E+00   0.330516E-03  -0.165088E+02
    95   0.197322E+04   0.700469E+00   0.328624E-03  -0.170844E+02
    96   0.199548E+04   0.714867E+00   0.326592E-03  -0.176626E+02
    97   0.201819E+04   0.729121E+00   0.324423E-03  -0.182426E+02
    98   0.204111E+04   0.743225E+00   0.322122E-03  -0.188223E+02
    99   0.206410E+04   0.757139E+00   0.319693E-03  -0.194046E+02
   100   0.208739E+04   0.770863E+00   0.317140E-03  -0.199852E+02
   101   0.211083E+04   0.784457E+00   0.314468E-03  -0.205669E+02
   102   0.213478E+04   0.797772E+00   0.311682E-03  -0.211475E+02
   103   0.215864E+04   0.810881E+00   0.308785E-03  -0.217280E+02
   104   0.218273E+04   0.823785E+00   0.305783E-03  -0.223052E+02
   105   0.220696E+04   0.836407E+00   0.302679E-03  -0.228807E+02
   106   0.223141E+04   0.848824E+00   0.299477E-03  -0.234538E+02
   107   0.225578E+04   0.860884E+00   0.296183E-03  -0.240230E+02
   108   0.228051E+04   0.872663E+00   0.292801E-03  -0.245891E+02
   109   0.230539E+04   0.884085E+00   0.289335E-03  -0.251506E+02
   110   0.233033E+04   0.895151E+00   0.285789E-03  -0.257061E+02
   111   0.235541E+04   0.905934E+00   0.282168E-03  -0.262570E+02
   112   0.238063E+04   0.916361E+00   0.278477E-03  -0.268026E+02
   113   0.240608E+04   0.926433E+00   0.274721E-03  -0.273415E+02
   114   0.243159E+04   0.936076E+00   0.270904E-03  -0.278728E+02
   115   0.245733E+04   0.945442E+00   0.267031E-03  -0.283967E+02
   116   0.248306E+04   0.954306E+00   0.263108E-03  -0.289124E+02
   117   0.250910E+04   0.962746E+00   0.259139E-03  -0.294192E+02
   118   0.253528E+04   0.970911E+00   0.255129E-03  -0.299178E+02
   119   0.256147E+04   0.978653E+00   0.251082E-03  -0.304060E+02
   120   0.258781E+04   0.985825E+00   0.247005E-03  -0.308837E+02
   121   0.261416E+04   0.992725E+00   0.242901E-03  -0.313511E+02
   122   0.264059E+04   0.999057E+00   0.238776E-03  -0.318074E+02
   123   0.266711E+04   0.100490E+01   0.234634E-03  -0.322526E+02
   124   0.269371E+04   0.101032E+01   0.230481E-03  -0.326838E+02
   125   0.272033E+04   0.101525E+01   0.226321E-03  -0.331031E+02
   126   0.274703E+04   0.101977E+01   0.222159E-03  -0.335098E+02
   127   0.277375E+04   0.102372E+01   0.218000E-03  -0.339033E+02
   128   0.280048E+04   0.102726E+01   0.213849E-03  -0.342828E+02
   129   0.282731E+04   0.103024E+01   0.209710E-03  -0.346475E+02
   130   0.285416E+04   0.103266E+01   0.205589E-03  -0.349967E+02
   131   0.288103E+04   0.103468E+01   0.201491E-03  -0.353320E+02
   132   0.290799E+04   0.103613E+01   0.197417E-03  -0.356504E+02
   133   0.293490E+04   0.103712E+01   0.193372E-03  -0.359542E+02
   134   0.296182E+04   0.103762E+01   0.189356E-03  -0.362391E+02
   135   0.298877E+04   0.103759E+01   0.185374E-03  -0.365082E+02
   136   0.301559E+04   0.103702E+01   0.181428E-03  -0.367577E+02
   137   0.304242E+04   0.103598E+01   0.177520E-03  -0.369900E+02
   138   0.306919E+04   0.103442E+01   0.173652E-03  -0.372037E+02
   139   0.309575E+04   0.103247E+01   0.169829E-03  -0.373981E+02
